id,workstream,track,status,owner,purpose,entryCondition,exitEvidence,publicBoundary
"WKS-001","Authority and mandate implementation","Cross-track","Blocked","Authority chair","Translate authority decisions into implementation limits.","ODR-001 closed.","Authority implementation memo approved privately.","Status only."
"WKS-002","Privacy and field minimisation","Cross-track","Blocked","Privacy reviewer","Turn privacy decisions into field rules and retention limits.","ODR-002 closed.","Minimum field schedule approved.","No fields/evidence public."
"WKS-003","IDS/data control implementation","Cross-track","Blocked","IDS/data reviewer","Implement access, export, deletion, and custody conditions.","ODR-003 closed.","Data control implementation note approved.","Aggregate status only."
"WKS-004","Support and incident handling","Cross-track","Blocked","Support owner","Make pause, withdrawal, complaint, and incident paths operational.","ODR-004 closed.","Support runbook accepted privately.","No support details public."
"WKS-005","Official Toastmasters boundary","FN Toastmasters","Blocked","Official-route owner","Keep member, club, payment, and education records out of Decidim unless privately approved.","ODR-005 closed.","Boundary memo accepted.","No official records public."
"WKS-006","Toastmasters guest-only rehearsal","FN Toastmasters","Hold","Training owner","Prepare a guest-only fake-data rehearsal path.","ODR-006/ODR-007 closed.","Guest-only script approved.","No member records."
"WKS-007","Barayamal founder/business-owner sample","Barayamal","Hold","Barayamal program operator","Prepare a controlled Barayamal fake-data implementation path.","ODR-009/ODR-011 closed.","Business-field minimisation accepted.","No business-sensitive details."
"WKS-008","Dean advisory review","Cross-track","Ready","Pilot owner","Use Dean as trusted reviewer without turning review into approval.","ODR-010 ready.","Advisory comments labelled non-approval.","Advisory only."
"WKS-009","Technical sandbox environment","Cross-track","Hold","Technical/admin custodian","Confirm environment, access, revoke, backup, export, delete, and monitoring readiness.","ODR-013 closed.","Operations proof accepted privately.","No logs/credentials."
"WKS-010","Provider-assisted fallback","Cross-track","Hold","Provider access owner","Keep provider route available with strict access boundary.","ODR-014 closed.","Provider controls accepted.","No provider logs public."
"WKS-011","Training and facilitator readiness","Cross-track","Hold","Training owner","Prepare fake-data scripts and support facilitator handover.","Training evidence accepted.","Training sign-off note.","Aggregate status only."
"WKS-012","Public communications and redaction","Cross-track","Hold","Comms lead","Publish only approved status and learning lines.","ODR-015 closed.","Redaction checklist passed.","Public-safe line only."
"WKS-013","Rollback, archive, and no-go route","Cross-track","Hold","Closeout archivist","Prepare no-go, archive, rollback, and evidence-retention controls.","ODR-016 closed.","Rollback/exit controls accepted.","No private archive public."
"WKS-014","Implementation governance cadence","Cross-track","Hold","Meeting chair","Run implementation reviews without drifting into real launch.","All release locks reviewed.","Weekly fake-data status record.","Status only."
