"id","day","session","track","status","facilitator","purpose","entryCheck","exitEvidence"
"SCH-001","T-minus 5","Kickoff and boundary readout","Cross-track","Ready","Pilot owner","Confirm v4.7 is fake/sample-only and assign owners.","v4.6 pack available.","Kickoff note and owner list."
"SCH-002","T-minus 5","Dean trusted reviewer orientation","Dean review","Ready","Pilot owner","Brief Dean on advisory-only scope and comment routing.","REV-001 to REV-004 available.","Reviewer scope acknowledgement."
"SCH-003","T-minus 4","Owner sign-off board setup","Cross-track","Hold","Meeting chair","Create the private sign-off board and decision-right map.","Authority chair and owner roster confirmed.","Sign-off board opened."
"SCH-004","T-minus 4","Sample roster and account check","Access","Hold","Technical/admin custodian","Confirm only fake accounts and role labels are used.","Access lock reviewed.","Sample roster and revoke note."
"SCH-005","T-minus 3","Barayamal founder/business workflow rehearsal","Barayamal","Hold","Barayamal program operator","Run founder, business owner, mentor, program, event, and feedback sample flows.","EXE-003, EXE-005, EXE-006, EXE-007 cleared.","Barayamal findings and issue list."
"SCH-006","T-minus 3","Barayamal admin revoke proof","Barayamal","Hold","Technical/admin custodian","Run Barayamal fake admin role assignment and revoke proof.","BLD-007 prepared.","Access revoke evidence."
"SCH-007","T-minus 2","First Nations Toastmasters guest workflow rehearsal","FN Toastmasters","Hold","Training owner","Run guest interest, agenda, role sign-up, feedback, and boundary-notice flows.","EXE-004, EXE-005, EXE-006, EXE-007 cleared.","Toastmasters findings and issue list."
"SCH-008","T-minus 2","Official-route boundary check","FN Toastmasters","Blocked","Official-route owner","Confirm official member, education, payment, and election routes stay closed.","Official-route owner available.","Boundary acceptance or hold."
"SCH-009","T-minus 1","Privacy, IDS/data, support tabletop","Cross-track","Blocked","Privacy reviewer","Run notice, withdrawal, incident, export, deletion, and custody tabletop.","Privacy, IDS/data, and support owners present.","Tabletop decision log."
"SCH-010","Day 0","Decidim build path decision","Decidim build","Hold","Technical/admin custodian","Choose provider-assisted sandbox or prepared self-build route.","Environment evidence available.","Build path decision note."
"SCH-011","Day 1","Issue triage and change request review","Cross-track","Ready","Pilot owner","Route all findings to owners and decide fix, hold, repeat, or stop.","Issue board populated.","Triaged issue register."
"SCH-012","Day 2","Closeout and decision briefing","Cross-track","Hold","Meeting chair","Choose hold, repeat rehearsal, provider route, limited private pilot, no-go, or archive.","Scorecard and owner signoffs reviewed.","Private decision brief."
