id,rehearsal,owner,threshold,status,question,passEvidence,failRoute
OGR-001,Owner go/no-go rehearsal for Authority,Authority chair,P0 unanimous private pass,Blocked,Can Authority move forward after the stress drill?,"Accepted private note proving critical authority route missing has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-002,Owner go/no-go rehearsal for Privacy,Privacy reviewer,P0 unanimous private pass,Blocked,Can Privacy move forward after the stress drill?,"Accepted private note proving privacy notice and consent gap has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-003,Owner go/no-go rehearsal for Privacy,Privacy reviewer,P0 unanimous private pass,Blocked,Can Privacy move forward after the stress drill?,"Accepted private note proving outbound real email escape has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-004,Owner go/no-go rehearsal for IDS/data,IDS/data reviewer,P0 unanimous private pass,Blocked,Can IDS/data move forward after the stress drill?,"Accepted private note proving export/delete/retention failure has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-005,Owner go/no-go rehearsal for Support,Support owner,P0 unanimous private pass,Blocked,Can Support move forward after the stress drill?,"Accepted private note proving support complaint and pause route failure has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-006,Owner go/no-go rehearsal for FN Toastmasters,Official-route owner,P0 unanimous private pass,Blocked,Can FN Toastmasters move forward after the stress drill?,"Accepted private note proving official Toastmasters boundary drift has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-007,Owner go/no-go rehearsal for Security,Security reviewer,P0 unanimous private pass,Blocked,Can Security move forward after the stress drill?,"Accepted private note proving credential or log exposure has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-008,Owner go/no-go rehearsal for Evidence,IDS/data reviewer,P0 unanimous private pass,Blocked,Can Evidence move forward after the stress drill?,"Accepted private note proving private evidence custody leak has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-009,Owner go/no-go rehearsal for Barayamal,Barayamal custodian,P0/P1 accepted or held with owner reason,Hold,Can Barayamal move forward after the stress drill?,"Accepted private note proving business-sensitive field creep has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
OGR-010,Owner go/no-go rehearsal for FN Toastmasters,Training owner,P0/P1 accepted or held with owner reason,Hold,Can FN Toastmasters move forward after the stress drill?,"Accepted private note proving guest support mistaken for member service has a named owner, evidence, and rollback route.","Hold, repeat drill, or no-go/archive if evidence is missing."
