id,linkedReleaseGate,topic,owner,acceptanceState,approvedLine,blockedLine,releaseCondition,acceptanceLimit
PRA-001,PRG-001,Overall,Comms lead,Accepted line with conditions,The public demo now includes an owner closeout sprint pack; no live pilot has been approved.,The project is ready for pilot.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-002,PRG-002,Owner closeout,Meeting chair,Accepted line with conditions,P0 owner closeout remains private and must pass before repeat testing.,Owners have approved launch.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-003,PRG-003,Repeat run,Meeting chair,Accepted line with conditions,The next valid operating step is repeat private fake/sample stress testing after owner closeout.,Repeat testing has passed.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-004,PRG-004,Barayamal,Barayamal custodian,Accepted line with conditions,Barayamal remains a controlled fake/sample organisation pathway.,Barayamal founders are being onboarded.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-005,PRG-005,First Nations Toastmasters,Training owner,Accepted line with conditions,First Nations Toastmasters remains a fake guest/member-boundary sample only.,Official Toastmasters members are being onboarded.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-006,PRG-006,Provider,Provider access owner,Accepted line with conditions,"No provider has access to real participant, organisation, or Toastmasters records.",A provider is reviewing real data.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-007,PRG-007,Evidence,IDS/data reviewer,Accepted line with conditions,Private evidence remains outside the public package.,Evidence can be shared publicly.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-008,PRG-008,Privacy,Privacy reviewer,Accepted line with conditions,Privacy and consent controls remain under private owner review.,Privacy approval is complete.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-009,PRG-009,Official boundary,Official-route owner,Accepted line with conditions,Official Toastmasters workflows are not active or approved in this demo.,Official Toastmasters processes are being tested live.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
PRA-010,PRG-010,Decision,Authority chair,Accepted line with conditions,No-go/archive remains explicit if P0 closeout does not pass.,Proceed is inevitable.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication.","May be used only after private acceptance and only if it does not imply launch, official Toastmasters workflows, provider access, or evidence publication."
