id,track,stage,status,decidimFeature,owner,publicAction,privateBoundary
ONB-001,Both,Public explanation and fake-data rule,Ready,Page,Public comms,Show what the sandbox is and is not.,"No real data, official records, or private eligibility evidence."
ONB-002,Barayamal,Founder and business owner interest path,Configure,Survey plus Proposals,Barayamal admin,Collect fake interest categories and support needs.,Real founder details stay out until private notice and consent pass.
ONB-003,Barayamal,Indigenous business owner profile rehearsal,Configure,Survey,Program operator,"Test business stage, sector, support priority, and referral category using sample records.","No ABN, income, client, contact, or sensitive commercial records in public demo."
ONB-004,Barayamal,Mentor and advisor pathway,Configure,Authorizations plus Meetings,Mentor coordinator,Test fake mentor role matching and meeting availability.,Real mentor credentials and conflicts stay private.
ONB-005,Barayamal,Program proposal and support request,Configure,Proposals,Program operator,Let sample founders propose support topics and vote-like priorities.,"No real funding, legal, debt, or hardship details."
ONB-006,Barayamal,Partner and funder observer route,Hold,Permissions,Partner liaison,Allow approved observers to read public-safe progress only.,No partner access to private participant records or exports.
ONB-007,Barayamal,Founder accountability follow-up,Configure,Accountability,Support lead,Track fake follow-up actions by owner type and due date.,Public status only; private support evidence remains private.
ONB-008,FN Toastmasters,Member welcome and fake account path,Configure,Page plus Authorizations,Club facilitator,"Test joining steps, meeting norms, and fake member account roles.",Official Toastmasters membership remains outside Decidim.
ONB-009,FN Toastmasters,Meeting role onboarding,Ready,Meetings,Meeting chair,"Test speaker, evaluator, timer, chair, and guest roles with fake records.","No private evaluations, attendance, or access needs in public minutes."
ONB-010,FN Toastmasters,Speaking confidence learning survey,Configure,Survey,Learning lead,Collect fake aggregate learning feedback.,No personal evaluation history or health/access information.
ONB-011,FN Toastmasters,Member proposal and club motion rehearsal,Hold,Proposals,Club facilitator,Test sample motions and learning ideas without official club decisions.,Official Toastmasters approvals and charter decisions stay outside Decidim.
ONB-012,FN Toastmasters,Guest-to-member boundary,Blocked,Permissions,Official-route owner,Separate guest participation from official member onboarding.,"No official member number, payment, signature, or charter acceptance in public demo."
ONB-013,Both,"Support, incident, and pause route",Blocked,Private process,Safety reviewer,Test fake pause and support routing before real intake.,Incident details and affected-person records are never public.
ONB-014,Both,Pilot closeout and delete/export proof,Blocked,Ops plus Accountability,Technical custodian,"Prove deletion, export, archive, and restore workflow privately.",No real data until backup/restore and closeout proof exists.
