id,task,track,status,owner,dependsOn,acceptance,publicBoundary
"TSK-001","Create authority implementation note","Cross-track","Blocked","Authority chair","LCK-001","Authority limits are signed off privately.","Status only."
"TSK-002","Create privacy field schema","Cross-track","Blocked","Privacy reviewer","LCK-002","Minimum fields, retention, and deletion approved.","No fields public."
"TSK-003","Create IDS/data control checklist","Cross-track","Blocked","IDS/data reviewer","LCK-003","Access/export/delete/custody controls approved.","Aggregate only."
"TSK-004","Draft support and incident runbook","Cross-track","Blocked","Support owner","LCK-004","Pause/withdrawal/complaint/incident routes pass.","No support details."
"TSK-005","Draft official Toastmasters exclusion memo","FN Toastmasters","Blocked","Official-route owner","LCK-005","Official member records remain outside Decidim.","No official records."
"TSK-006","Draft Toastmasters guest-only sample process","FN Toastmasters","Hold","Training owner","LCK-009","Guest script does not imply membership or official records.","No member data."
"TSK-007","Create Toastmasters fake meeting role cards","FN Toastmasters","Hold","Training owner","LCK-009","Sample roles are non-official and fake-data only.","No education records."
"TSK-008","Create Toastmasters public hold line","FN Toastmasters","Ready","Comms lead","LCK-013","Line says member route remains closed.","Public-safe only."
"TSK-009","Draft Barayamal-only sample workflow","Barayamal","Hold","Barayamal program operator","LCK-008","Founder/business-owner sample has minimised fields.","No business details."
"TSK-010","Create Barayamal business-field minimisation map","Barayamal","Hold","Barayamal program operator","LCK-008","Business-sensitive fields removed or private.","No business details."
"TSK-011","Create Barayamal advisory review queue","Barayamal","Ready","Pilot owner","LCK-014","Dean comments labelled advisory only.","Advisory only."
"TSK-012","Create Barayamal public learning line","Barayamal","Ready","Comms lead","LCK-013","Aggregate learning only.","No founder/business names."
"TSK-013","Create fake-account access matrix","Cross-track","Hold","Technical/admin custodian","LCK-011","Role access is least-privilege and revocable.","No account details."
"TSK-014","Run revoke proof","Cross-track","Hold","Technical/admin custodian","LCK-011","Revoked fake account cannot access sandbox.","No logs."
"TSK-015","Run backup/export/delete proof","Cross-track","Hold","Technical/admin custodian","LCK-010","Fake-data backup/export/delete tested.","No backups/exports."
"TSK-016","Create provider route acceptance checklist","Cross-track","Hold","Provider access owner","LCK-012","Provider access is bounded, logged privately, and revocable.","No provider logs."
"TSK-017","Prepare no-go/archive pack","Cross-track","Ready","Closeout archivist","LCK-016","No-go/archive can be issued public-safely.","No private reasons."
"TSK-018","Prepare second fake-data implementation review","Cross-track","Available","Meeting chair","LCK-007","Second review only if blockers remain.","Status only."
