"id","component","track","status","dependency","acceptanceTest","owner"
"TBH-001","Private Decidim application repository","Repository","Hold","Private repo and maintainer list.","Only approved maintainers can access.","Technical/admin custodian"
"TBH-002","Ruby and Bundler runtime","Runtime","Blocked","Ruby and Bundler installed at Decidim-compatible versions.","Decidim app can bundle install.","Technical/admin custodian"
"TBH-003","PostgreSQL client/server path","Runtime","Blocked","PostgreSQL available for app and backups.","Database create, migrate, backup, restore pass.","Technical/admin custodian"
"TBH-004","ImageMagick and libvips","Runtime","Blocked","Image processing dependencies available.","Upload/variant processing test passes with fake asset.","Technical/admin custodian"
"TBH-005","Node version alignment","Runtime","Hold","Node version checked against Decidim dependency needs.","Assets compile without warnings that affect runtime.","Technical/admin custodian"
"TBH-006","Background jobs and scheduler","Runtime","Hold","Queue worker and scheduled tasks configured.","Fake notification/background task completes.","Technical/admin custodian"
"TBH-007","Outbound email sandbox lock","Privacy","Blocked","Email disabled, sandboxed, or domain isolated.","No real email can send in fake-data rehearsal.","Privacy reviewer"
"TBH-008","Authorisation and role model","Access","Hold","Role matrix for Barayamal, Toastmasters guest, reviewer, admin.","Fake role assignment and revoke proof passes.","Technical/admin custodian"
"TBH-009","Fake seed import","Data","Ready","Sample content and fake accounts only.","Import creates no real records.","Pilot owner"
"TBH-010","Data export, deletion, retention","IDS/data","Blocked","Lifecycle scripts and owner evidence.","Export/delete/archive proof passes with fake data.","IDS/data reviewer"
"TBH-011","Backups and restore","Security","Blocked","Encrypted backup and restore test.","Restore from fake backup passes.","Security reviewer"
"TBH-012","Secrets and credentials","Security","Blocked","Secrets manager or equivalent local rule.","No secrets in repo, logs, public package, or screenshots.","Security reviewer"
"TBH-013","Monitoring and audit logs","Security","Hold","Audit log policy and monitoring route.","Critical admin actions are logged and reviewable privately.","Security reviewer"
"TBH-014","Domain, TLS, and DNS","Hosting","Hold","Domain decision and TLS route.","HTTPS and domain ownership verified.","Provider access owner"
"TBH-015","Mobile and accessibility QA","QA","Hold","Viewport and keyboard/screen reader checks.","Critical participant flows pass basic accessibility QA.","Accessibility reviewer"
"TBH-016","Rollback and no-go archive","Closeout","Ready","Rollback and archive instructions.","No-go status can be published without private evidence.","Closeout archivist"
"TBH-017","Implementation ticket import","Build handoff","Ready","CSV/JSON backlog for manual or GitHub import.","P0/P1 tickets have owner, blocker, and acceptance test.","Meeting chair"
"TBH-018","Admin training handoff","Training","Hold","Training script and support escalation.","Fake admin can complete common tasks without developer help.","Community admin trainer"
