id,role,authority,status,evidence,scope,publicRule,noGo
SO-001,Pilot authority,Final go/hold/no-go decision,Required,Decision record signed or minuted,"Can approve, hold, stop, or expire activation",Public redacted status only,Activation occurs without authority signoff
SO-002,Governance reviewer,Community authority pathway,Required,Decision rights and consultation path confirmed,Can require hold for authority ambiguity,Authority pathway summary only,Developer custody becomes default authority
SO-003,Data reviewer,IDS/data governance,Required,"Data classes, purpose, access, retention, deletion, and reporting checked",Can stop activation for data governance risk,Class labels and pass/hold counts only,Data reuse or transfer is not controlled
SO-004,Privacy reviewer,"PIA, notice, consent, withdrawal",Required,"PIA status, notice version, consent wording, and withdrawal route checked",Can stop intake for privacy risk,Template version only,People submit information without clear notice
SO-005,Safety reviewer,Incident and cultural safety route,Required,"Pause, support, escalation, and cultural safety route rehearsed",Can pause activation immediately,Incident route status only,Incident route is unclear or unsafe
SO-006,Technical custodian,Private environment and access,Required,"MFA, backups, access register, logs, exports, deletion, and restore drill checked",Can hold for security/access weakness,Hosting/access model only,Private records stored publicly or broadly
SO-007,Toastmasters launch lead,Official Toastmasters boundary,Required,"Official forms, payments, signatures, member numbers, and charter path separated",Can hold if official data crosses boundary,External official status only,Official records enter public package
SO-008,QA reviewer,Public-safe evidence,Required,"Release, screenshots, document viewer, JSON, CSV, and public wording checked",Can hold public publication,QA pass/fail only,Public package exposes private evidence
SO-009,Access support contact,Participant support,Hold,"Support route, response clock, withdrawal/correction handoff ready",Can hold until support is staffed,Support model only,Participants cannot get support
SO-010,Build delivery lead,Provider and budget boundary,Hold,Provider sees fake/sample data only until authority and contract are approved,Can hold provider handoff,Provider pathway only,Provider gets real data too early
SO-011,Backup admin,Continuity,Ready,Backup admin activation rule and expiry documented,Can act only after authority activation,Backup role only,Single-person dependency blocks stop/delete action
SO-012,Public communications owner,Public notice and updates,Ready,"Public update wording is aggregate, fake/sample, and redacted",Can hold public update,Public-safe summary only,Public post reveals private context
