"id","trigger","severity","owner","action","publicLine"
"NOGO-001","Authority owner does not approve real intake route.","Critical","Authority chair","Keep real intake blocked and archive privately.","Real intake remains closed."
"NOGO-002","Privacy owner rejects data fields or notice wording.","Critical","Privacy reviewer","Remove fields and pause all invitations.","Privacy review remains in progress."
"NOGO-003","IDS/data reviewer rejects custody/export/delete path.","Critical","IDS/data reviewer","Pause data processing and revise controls.","Data controls remain under private review."
"NOGO-004","Support route cannot handle pause/withdrawal/complaint/incident.","Critical","Support owner","Do not invite real people.","Support readiness remains blocked."
"NOGO-005","Official Toastmasters route is unclear or disagrees.","Critical","Official-route owner","Keep Toastmasters member route closed.","Toastmasters member route remains closed."
"NOGO-006","Real personal/member/business-sensitive data enters public/demo space.","Critical","Pilot owner","Remove, investigate privately, and pause release.","Public package corrected if needed."
"NOGO-007","Access revoke proof fails.","High","Technical/admin custodian","Revoke all test access and fix permissions.","Access controls remain under review."
"NOGO-008","Decidim environment cannot meet backup/export/delete needs.","High","Technical/admin custodian","Use provider-assisted route or hold build.","Build environment remains under review."
"NOGO-009","Dean advisory comments identify critical boundary risk.","High","Pilot owner","Route to relevant owner; do not treat as approval.","Advisory review raised follow-up actions."
"NOGO-010","Public comms overstate readiness or approval.","High","Comms lead","Correct wording and pause further updates.","Public wording corrected."
"NOGO-011","Cultural safety or sensitive material concern appears.","Critical","Cultural safety reviewer","Stop public processing and route privately.","Cultural safety review remains private."
"NOGO-012","Private owner asks to stop, hold, or archive.","Critical","Meeting chair","Respect owner decision and close safely.","Pilot status updated without private reasons."
