"id","track","caseName","status","intakeSummary","requiredBefore","triageAction","publicBoundary"
"ITC-001","Barayamal","Founder wants private pilot","Hold","Founder can use fake-data rehearsal first.","Authority, privacy, IDS, support, and field approval.","Create private intake ticket; no real data in public demo.","No names or business-sensitive details public."
"ITC-002","Barayamal","Business owner learning pathway","Hold","Business owner tests governance request and support pathway.","Business field review and support route.","Route to private business-owner sample flow.","No commercial records public."
"ITC-003","Barayamal","Mentor or advisor offer","Ready","Mentor can advise without approval authority.","Conflict and privacy acceptance.","Observer/advisor role only.","No private participant access by default."
"ITC-004","Barayamal","Partner observer request","Ready","Partner can see public-safe progress only.","Observer-only access proof.","Use public pages and approved updates.","No exports or private records."
"ITC-005","Barayamal","Dean trusted reviewer review","Ready","Dean reviews advisory/developer boundaries.","Trusted reviewer boundary accepted.","Capture private review note outside public pack.","No approval substitution."
"ITC-006","FN Toastmasters","Member tester request","Blocked","Member testing is blocked until official-route acceptance.","Official Toastmasters boundary.","Hold member intake.","No member numbers or official records."
"ITC-007","FN Toastmasters","Guest tester request","Hold","Guest can test welcome and meeting discovery path.","Guest/member boundary proof.","Route to guest sample flow.","No implied membership."
"ITC-008","FN Toastmasters","Meeting role volunteer","Hold","Volunteer can test non-official sample agenda role.","No evaluation or education record collection.","Assign fake role only.","No real evaluations."
"ITC-009","FN Toastmasters","Club facilitator intake","Hold","Facilitator supports sample non-official activity.","Official-route wording review.","Private facilitator setup.","No official club decisions."
"ITC-010","Cross-track","Authority reviewer joins","Blocked","Authority reviewer can decide go/hold/no-go privately.","Private authority meeting route.","Create authority decision ticket.","No authority minutes public."
"ITC-011","Cross-track","Privacy reviewer joins","Blocked","Privacy reviewer approves fields, notice, support, and complaint route.","Private privacy review route.","Create privacy approval ticket.","No evidence public."
"ITC-012","Cross-track","IDS/data reviewer joins","Blocked","Data reviewer approves control, access, retention, export, delete.","Private data governance route.","Create IDS/data approval ticket.","No data governance evidence public."
"ITC-013","Cross-track","Technical custodian joins","Hold","Technical custodian proves access/revoke/backup/export/delete.","Private technical proof.","Create access provisioning queue.","No credentials or logs public."
"ITC-014","Cross-track","Support owner joins","Blocked","Support owner confirms pause, complaint, incident, and correction routes.","Private support protocol.","Create support readiness ticket.","No support records public."
