id,providerAsk,status,owner,refusalLine,safeAlternative,stopTrigger
PRS-001,Real participant records,Ready,Provider access owner,We cannot provide real participant records for this fake/sample review.,Use synthetic sample schema.,Provider repeats real-record request
PRS-002,Official Toastmasters member list,Ready,Official-route owner,Official Toastmasters records are out of scope.,Use fake guest/member-boundary sample records.,Provider asks for member list or official system import
PRS-003,Outbound email invitations,Ready after privacy proof,Privacy reviewer,Outbound email is not active for real people.,Use local fake invite preview only.,Any real email send is attempted
PRS-004,Admin credentials,Ready after access proof,Security reviewer,Admin credentials cannot be shared outside the approved channel.,Use least-privilege temporary account after owner approval.,Credential shared or stored outside approved channel
PRS-005,Live onboarding expansion,Hold,Authority chair,Live onboarding is not approved.,Keep scope fake/sample-only.,Provider implies live launch
PRS-006,Private logs,Ready after security proof,Security reviewer,Private logs or evidence cannot be transferred.,Use redacted synthetic logs.,Log contains private evidence
PRS-007,External sample export retention,Hold,IDS/data reviewer,External retention needs deletion and retention proof.,Use temporary synthetic export with deletion proof.,Retention proof missing
PRS-008,Backup restore assumed,Hold,Security reviewer,Restore proof must be demonstrated privately.,Use private restore proof placeholder.,Backup is assumed but not proven
PRS-009,Invite real users,Ready,Authority chair,Real user invitations are blocked.,Use fake/sample participant aliases.,Any real invite sent
PRS-010,Public launch wording,Ready,Comms lead,"Public wording must say preparation, not launch.",Use approved public closeout register.,Public wording implies launch
