id,evidence,track,sensitivity,status,custodian,neededFor,publicBoundary
"EVD-001","Authority pathway confirmation","Cross-track","Private restricted","Blocked","Authority chair","Authority pathway gate.","Status only."
"EVD-002","Privacy field schedule","Cross-track","Private restricted","Blocked","Privacy reviewer","Privacy decision.","No field evidence public."
"EVD-003","IDS/data governance conditions","Cross-track","Private restricted","Blocked","IDS/data reviewer","Data governance decision.","Aggregate status only."
"EVD-004","Support and incident protocol","Cross-track","Never public","Blocked","Support owner","Support gate.","No support/incident details public."
"EVD-005","Official Toastmasters boundary note","FN Toastmasters","Private restricted","Blocked","Official-route owner","Official boundary gate.","No member/club records public."
"EVD-006","Barayamal business-field minimisation note","Barayamal","Private restricted","Hold","Barayamal program operator","Barayamal-only rehearsal gate.","No business-sensitive details public."
"EVD-007","Dean advisory boundary note","Cross-track","Public summary","Ready","Pilot owner","Advisory boundary gate.","Can publish advisory boundary."
"EVD-008","Fake account roster","Cross-track","Private restricted","Ready","Technical/admin custodian","Sandbox readiness.","No names/emails public."
"EVD-009","Access revoke proof","Cross-track","Never public","Hold","Technical/admin custodian","Access gate.","No logs public."
"EVD-010","Backup/restore/export/delete proof","Cross-track","Never public","Hold","Technical/admin custodian","Technical gate.","No backups/exports public."
"EVD-011","Conflict and recusal register","Cross-track","Private restricted","Hold","Meeting chair","Meeting integrity.","No personal conflict details public."
"EVD-012","Redaction checklist","Cross-track","Public summary","Hold","Comms lead","Public update.","Checklist status only."
"EVD-013","Training completion note","Cross-track","Private restricted","Hold","Training owner","Facilitation gate.","Aggregate only."
"EVD-014","Provider access boundary note","Cross-track","Private restricted","Hold","Provider access owner","Provider route option.","No provider logs public."
"EVD-015","Public release note draft","Cross-track","Public summary","Ready","Comms lead","Public update.","Can publish if approved."
"EVD-016","Cultural protocol stop rule","Cross-track","Never public","Blocked","Cultural safety reviewer","Cultural safety risk.","No cultural material public."
