id,scenario,status,owner,unsafePrompt,approvedLine,blockedDetail
PCS-001,Public wording stress: critical authority route missing,Ready,Comms lead,A stakeholder asks to explain critical authority route missing publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-002,Public wording stress: privacy notice and consent gap,Ready,Comms lead,A stakeholder asks to explain privacy notice and consent gap publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-003,Public wording stress: outbound real email escape,Ready,Comms lead,A stakeholder asks to explain outbound real email escape publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-004,Public wording stress: export/delete/retention failure,Ready,Comms lead,A stakeholder asks to explain export/delete/retention failure publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-005,Public wording stress: support complaint and pause route failure,Ready,Comms lead,A stakeholder asks to explain support complaint and pause route failure publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-006,Public wording stress: official Toastmasters boundary drift,Ready,Comms lead,A stakeholder asks to explain official Toastmasters boundary drift publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-007,Public wording stress: credential or log exposure,Ready,Comms lead,A stakeholder asks to explain credential or log exposure publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-008,Public wording stress: private evidence custody leak,Ready,Comms lead,A stakeholder asks to explain private evidence custody leak publicly.,The project remains in private preparation using fake/sample data only.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-009,Public wording stress: business-sensitive field creep,Hold,Comms lead,A stakeholder asks to explain business-sensitive field creep publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-010,Public wording stress: guest support mistaken for member service,Hold,Comms lead,A stakeholder asks to explain guest support mistaken for member service publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-011,Public wording stress: provider asks for real records,Hold,Comms lead,A stakeholder asks to explain provider asks for real records publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-012,Public wording stress: backup restore cannot be proven,Hold,Comms lead,A stakeholder asks to explain backup restore cannot be proven publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-013,Public wording stress: role revoke fails,Hold,Comms lead,A stakeholder asks to explain role revoke fails publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-014,Public wording stress: admin handoff before training,Hold,Comms lead,A stakeholder asks to explain admin handoff before training publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-015,Public wording stress: private minutes accidentally public,Hold,Comms lead,A stakeholder asks to explain private minutes accidentally public publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-016,Public wording stress: advisory comment treated as approval,Ready,Comms lead,A stakeholder asks to explain advisory comment treated as approval publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-017,Public wording stress: public wording implies launch,Ready,Comms lead,A stakeholder asks to explain public wording implies launch publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
PCS-018,Public wording stress: no-go route ignored,Ready,Comms lead,A stakeholder asks to explain no-go route ignored publicly.,A public-safe stress test is being reviewed before any live step.,"No private evidence, owner reasons, participant details, official records, support cases, credentials, or launch promise."
