id,linkedHandoff,linkedEvidenceVote,linkedOwnerSprint,area,priority,owner,acceptanceState,requiredPrivateAction,privateEvidenceReference,custodyNeed,repeatEligibility,publicSafeLine,launchStatus
ACC-001,HOF-001,EVS-001,OSP-001,Authority,P0,Authority chair,Blocked,"Block repeat eligibility until owner resolves: Accept, revise, or hold evidence need: Private authority roster and minute placeholder.",Private evidence packet for OSP-001: Private authority roster and minute placeholder.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,Authority remains private and unresolved; no pilot has been approved.,Pilot remains blocked
ACC-002,HOF-002,EVS-002,OSP-002,Privacy,P0,Privacy reviewer,Blocked,"Block repeat eligibility until owner resolves: Accept, revise, or hold evidence need: Private privacy copy approval.",Private evidence packet for OSP-002: Private privacy copy approval.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,Privacy and consent controls remain under private owner review.,Pilot remains blocked
ACC-003,HOF-003,EVS-003,OSP-003,Privacy,P0,Privacy reviewer,Blocked,"Block repeat eligibility until owner resolves: Accept, revise, or hold evidence need: Disabled outbound-email proof.",Private evidence packet for OSP-003: Disabled outbound-email proof.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,No outbound email is active for real participants.,Pilot remains blocked
ACC-004,HOF-004,EVS-004,OSP-004,IDS/data,P0,IDS/data reviewer,Blocked,"Block repeat eligibility until owner resolves: Accept, revise, or hold evidence need: Private data-rights drill evidence placeholder.",Private evidence packet for OSP-004: Private data-rights drill evidence placeholder.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,"Data export, deletion, and retention controls remain under private review.",Pilot remains blocked
ACC-005,HOF-005,EVS-005,OSP-005,Support,P0,Support owner,Owner review,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private support drill minute.",Private evidence packet for OSP-005: Private support drill minute.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,Support routes are not live services.,Pilot remains blocked
ACC-006,HOF-006,EVS-006,OSP-006,Official boundary,P0,Official-route owner,Hold,Hold for owner acceptance: Resolve blocker before any repeat scheduling: Any official Toastmasters workflow appears.,Private evidence packet for OSP-006: Private official-boundary note.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.,Pilot remains blocked
ACC-007,HOF-007,EVS-007,OSP-007,Evidence,P0,IDS/data reviewer,Owner review,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private custody index.",Private evidence packet for OSP-007: Private custody index.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,Private evidence is not published in the public package.,Pilot remains blocked
ACC-008,HOF-008,EVS-008,OSP-008,Provider,P0,Provider access owner,Blocked,"Block repeat eligibility until owner resolves: Accept, revise, or hold evidence need: Provider refusal proof and RFQ boundary approval.",Private evidence packet for OSP-008: Provider refusal proof and RFQ boundary approval.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,"No provider has access to real participant, organisation, or Toastmasters records.",Pilot remains blocked
ACC-009,HOF-009,EVS-009,OSP-009,FN Toastmasters,P1,Training owner,Accepted with sample limits,Confirm private acceptance and preserve fake/sample-only conditions.,Private evidence packet for OSP-009: Private copy review.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Eligible after custody acceptance and signoff lane approval.,First Nations Toastmasters sample records do not represent official member services.,Pilot remains blocked
ACC-010,HOF-010,EVS-010,OSP-010,Security,P1,Security reviewer,Owner review,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private security proof references.",Private evidence packet for OSP-010: Private security proof references.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,No live Decidim access is approved by this public demo.,Pilot remains blocked
ACC-011,HOF-011,EVS-011,OSP-011,Access,P1,Security reviewer,Owner review,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private access expiry proof.",Private evidence packet for OSP-011: Private access expiry proof.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,No live admin access is approved by this public demo.,Pilot remains blocked
ACC-012,HOF-012,EVS-012,OSP-012,Provider,P1,Provider access owner,Hold,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private RFQ approval reference.",Private evidence packet for OSP-012: Private RFQ approval reference.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,Provider or self-build options remain under fake/sample-only review.,Pilot remains blocked
ACC-013,HOF-013,EVS-013,OSP-013,Owners,P2,Meeting chair,Owner review,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private quorum roster.",Private evidence packet for OSP-013: Private quorum roster.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,Named owners must approve their own gates privately.,Pilot remains blocked
ACC-014,HOF-014,EVS-014,OSP-014,Barayamal,P2,Barayamal custodian,Accepted with sample limits,Confirm private acceptance and preserve fake/sample-only conditions.,Private evidence packet for OSP-014: Private Barayamal sample review.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Eligible after custody acceptance and signoff lane approval.,Barayamal remains a controlled fake/sample organisation test path.,Pilot remains blocked
ACC-015,HOF-015,EVS-015,OSP-015,Communications,P2,Comms lead,Accepted with sample limits,Confirm private acceptance and preserve fake/sample-only conditions.,Private evidence packet for OSP-015: Private comms approval reference.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Eligible after custody acceptance and signoff lane approval.,The public demo remains a fake/sample preparation tool; no live pilot has been approved.,Pilot remains blocked
ACC-016,HOF-016,EVS-016,OSP-016,Documentation,P2,Documentation owner,Accepted with sample limits,Confirm private acceptance and preserve fake/sample-only conditions.,Private evidence packet for OSP-016: Generated v5.5 package manifest.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Eligible after custody acceptance and signoff lane approval.,The demo now includes an owner closeout sprint layer.,Pilot remains blocked
ACC-017,HOF-017,EVS-017,OSP-017,Final minutes,P0,Meeting chair,Owner review,"Hold for owner acceptance: Accept, revise, or hold evidence need: Private final minute placeholder.",Private evidence packet for OSP-017: Private final minute placeholder.,"Private evidence vault reference, retention rule, and public disclosure rule required.",Not eligible for repeat P0 schedule.,"The next valid step is closeout sprint, repeat testing, or no-go/archive.",Pilot remains blocked
