id,priority,area,linkedRemediation,status,owner,sprintAction,evidenceDue,closeoutCriteria,stopTrigger,publicLine
OSP-001,P0,Authority,REM-001,Open,Authority chair,"Name chair, alternate, scope, and decision authority.",Private authority roster and minute placeholder.,Chair and alternate recorded with quorum authority.,No named chair or unclear authority route.,Authority remains private and unresolved; no pilot has been approved.
OSP-002,P0,Privacy,REM-002,Open,Privacy reviewer,"Approve consent, notice, withdrawal, storage, and contact copy.",Private privacy copy approval.,Privacy reviewer accepts fake/sample-only wording.,Copy implies real intake or unclear withdrawal.,Privacy and consent controls remain under private owner review.
OSP-003,P0,Privacy,REM-003,In review,Privacy reviewer,Confirm outbound email stays disabled or fake/sample-contained.,Disabled outbound-email proof.,No real outbound email can send from the demo.,Any real email sends or live invite is implied.,No outbound email is active for real participants.
OSP-004,P0,IDS/data,REM-004,Open,IDS/data reviewer,"Accept export, delete, retention, and custody drill proof.",Private data-rights drill evidence placeholder.,"Export, delete, retention, and custody pass privately.",Delete proof absent or retention unclear.,"Data export, deletion, and retention controls remain under private review."
OSP-005,P0,Support,REM-005,Open,Support owner,"Accept complaint, pause, escalation, and closeout route.",Private support drill minute.,Support owner confirms pause and escalation route.,Complaint path has no owner or no pause route.,Support routes are not live services.
OSP-006,P0,Official boundary,REM-006,Blocked,Official-route owner,Confirm official Toastmasters systems stay out of scope.,Private official-boundary note.,"No official member, payment, education, officer, or club workflow is active.",Any official Toastmasters workflow appears.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.
OSP-007,P0,Evidence,REM-007,Open,IDS/data reviewer,Accept custody index and redaction rules.,Private custody index.,Public package shows only aggregate status and custody placeholders.,Private evidence details appear publicly.,Private evidence is not published in the public package.
OSP-008,P0,Provider,REM-008,Open,Provider access owner,Close provider real-record refusal and fake/sample-only boundary pack.,Provider refusal proof and RFQ boundary approval.,Provider real-record asks are rejected and redirected to fake/sample schemas only.,"Provider receives or is promised real records, official records, outbound email, credentials, logs, or live access.","No provider has access to real participant, organisation, or Toastmasters records."
OSP-009,P1,FN Toastmasters,REM-009,Open,Training owner,Accept guest/member-boundary copy revisions.,Private copy review.,Guest support wording cannot read as official member service.,"Copy implies member service, officer, payment, education, or official record.",First Nations Toastmasters sample records do not represent official member services.
OSP-010,P1,Security,REM-010,In review,Security reviewer,"Attach backup restore, revoke, and credential proof references.",Private security proof references.,Security reviewer accepts fake/sample environment proof.,"Credential, log, restore, or revoke proof missing.",No live Decidim access is approved by this public demo.
OSP-011,P1,Access,REM-011,Open,Security reviewer,"Accept admin expiry, revoke route, and access owner path.",Private access expiry proof.,"Admin access has expiry, revoke route, and owner approval.",Unrestricted or unowned admin access appears.,No live admin access is approved by this public demo.
OSP-012,P1,Provider,REM-012,Open,Provider access owner,Accept fake/sample-only provider RFQ scope.,Private RFQ approval reference.,"RFQ excludes real records, official Toastmasters data, outbound email, credentials, and live access.",Provider scope implies live or real-record access.,Provider or self-build options remain under fake/sample-only review.
OSP-013,P2,Owners,REM-013,Open,Meeting chair,Complete owner alternate rota and attendance roster.,Private quorum roster.,Every required owner has an alternate and attendance state.,No quorum or missing owner alternate.,Named owners must approve their own gates privately.
OSP-014,P2,Barayamal,REM-014,Ready,Barayamal custodian,Accept held Barayamal sample revisions.,Private Barayamal sample review.,No real business-sensitive or contact fields appear.,Real business-sensitive field appears.,Barayamal remains a controlled fake/sample organisation test path.
OSP-015,P2,Communications,REM-015,Ready,Comms lead,Accept public-safe closeout wording.,Private comms approval reference.,Public line says preparation only and does not imply launch.,"Public wording implies approval, launch, or private evidence pass.",The public demo remains a fake/sample preparation tool; no live pilot has been approved.
OSP-016,P2,Documentation,REM-016,Ready,Documentation owner,Add v5.5 sprint pack to reviewer materials.,Generated v5.5 package manifest.,"Reviewers can follow agenda, evidence, closeout, and decision paths.",Reviewer pack lacks closeout sprint steps.,The demo now includes an owner closeout sprint layer.
OSP-017,P0,Final minutes,REM-017,Open,Meeting chair,Prepare final decision minute shell and outcome options.,Private final minute placeholder.,"Proceed, repeat, and no-go/archive options are explicit.",Decision minute implies proceed before closeout.,"The next valid step is closeout sprint, repeat testing, or no-go/archive."
OSP-018,P1,Repeat run,REM-018,Scheduled after closeout,Meeting chair,Schedule repeat P0 lab only after owner closeout is accepted.,Private calendar hold and stop trigger register.,"Calendar, quorum, evidence folder, and stop triggers are confirmed.",Repeat run starts before P0 closeout readiness.,Preparation continues; no pilot has been approved.
