id,sampleRecord,segment,status,fakeFields,blockedFields,runPurpose
FNT-001,Fake First Nations Toastmasters guest/member-boundary sample 1,Guest,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-002,Fake First Nations Toastmasters guest/member-boundary sample 2,Prospective member,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-003,Fake First Nations Toastmasters guest/member-boundary sample 3,Training volunteer,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-004,Fake First Nations Toastmasters guest/member-boundary sample 4,Guest,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-005,Fake First Nations Toastmasters guest/member-boundary sample 5,Prospective member,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-006,Fake First Nations Toastmasters guest/member-boundary sample 6,Training volunteer,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-007,Fake First Nations Toastmasters guest/member-boundary sample 7,Guest,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-008,Fake First Nations Toastmasters guest/member-boundary sample 8,Prospective member,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-009,Fake First Nations Toastmasters guest/member-boundary sample 9,Training volunteer,Ready,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-010,Fake First Nations Toastmasters guest/member-boundary sample 10,Guest,Hold,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-011,Fake First Nations Toastmasters guest/member-boundary sample 11,Prospective member,Hold,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-012,Fake First Nations Toastmasters guest/member-boundary sample 12,Training volunteer,Hold,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-013,Fake First Nations Toastmasters guest/member-boundary sample 13,Guest,Hold,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
FNT-014,Fake First Nations Toastmasters guest/member-boundary sample 14,Prospective member,Hold,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Test guest support and training interest without implying official Toastmasters workflow
