id,topic,owner,defaultState,approvedLine,blockedLine,releaseCondition
PRG-001,Overall,Comms lead,Approved line ready,The public demo now includes an owner closeout sprint pack; no live pilot has been approved.,The project is ready for pilot.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-002,Owner closeout,Meeting chair,Approved line ready,P0 owner closeout remains private and must pass before repeat testing.,Owners have approved launch.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-003,Repeat run,Meeting chair,Approved line ready,The next valid operating step is repeat private fake/sample stress testing after owner closeout.,Repeat testing has passed.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-004,Barayamal,Barayamal custodian,Approved line ready,Barayamal remains a controlled fake/sample organisation pathway.,Barayamal founders are being onboarded.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-005,First Nations Toastmasters,Training owner,Approved line ready,First Nations Toastmasters remains a fake guest/member-boundary sample only.,Official Toastmasters members are being onboarded.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-006,Provider,Provider access owner,Approved line ready,"No provider has access to real participant, organisation, or Toastmasters records.",A provider is reviewing real data.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-007,Evidence,IDS/data reviewer,Approved line ready,Private evidence remains outside the public package.,Evidence can be shared publicly.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-008,Privacy,Privacy reviewer,Approved line ready,Privacy and consent controls remain under private owner review.,Privacy approval is complete.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-009,Official boundary,Official-route owner,Approved line ready,Official Toastmasters workflows are not active or approved in this demo.,Official Toastmasters processes are being tested live.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
PRG-010,Decision,Authority chair,Approved line ready,No-go/archive remains explicit if P0 closeout does not pass.,Proceed is inevitable.,"Release only after the private handoff packet is accepted and the line does not imply launch, official Toastmasters workflows, provider data access, or evidence publication."
