"id","ticket","status","owner","acceptance","privateEvidence","publicBoundary"
"APR-001","Authority pathway approval","Blocked","Authority chair","Approve private intake path and decision owner.","Private authority record.","No public minutes."
"APR-002","Privacy intake fields approval","Blocked","Privacy reviewer","Approve minimum fields, notices, consent, complaint route.","Private privacy note.","No private evidence public."
"APR-003","IDS/data governance approval","Blocked","Data governance reviewer","Approve control, access, retention, export, delete.","Private IDS/data note.","No governance evidence public."
"APR-004","Official Toastmasters boundary","Blocked","Official-route owner","Accept external official-record boundary.","Private official-route statement.","No member records public."
"APR-005","Support and incident route","Blocked","Support owner","Confirm support, pause, complaint, incident escalation.","Private support protocol.","No support details public."
"APR-006","Technical access and revoke","Hold","Technical custodian","Prove least privilege, revoke, logs, backup, restore.","Private access proof.","No credentials public."
"APR-007","Retention and deletion rule","Blocked","Privacy and data reviewers","Approve retention, archive, export, delete, withdrawal closeout.","Private retention rule.","No deletion evidence public."
"APR-008","Barayamal business field review","Hold","Barayamal program operator","Approve optional business/founder fields.","Private field map.","No business-sensitive details public."
"APR-009","Guest/member boundary","Hold","Official-route owner","Confirm guest path does not imply membership.","Private route note.","No implied membership."
"APR-010","Training completion","Hold","Training owner","Confirm role and support training complete.","Private completion record.","Publish aggregate only."
"APR-011","Comms wording approval","Ready","Comms lead","Approve public-safe intake status wording.","Public update file.","No overstatement."
"APR-012","Provider access boundary","Hold","Technical custodian","Provider access, if any, is contract-bound and revocable.","Private provider handoff.","No provider logs public."
"APR-013","Pilot decision meeting","Hold","Authority chair","Decide hold, second rehearsal, limited pilot, archive, or no-go.","Private decision record.","Publish status only."
"APR-014","Archive/no-go closeout","Ready","Pilot owner","Archive sample package or no-go safely if approvals do not pass.","Public-safe closeout note.","No private evidence."
