"id","task","phase","priority","status","owner","dependsOn","acceptance"
"BLD-001","Choose provider-assisted or self-build environment","Prepare","P0","Hold","Technical/admin custodian","EXE-009","Hosting path chosen and documented."
"BLD-002","Create private Decidim app repository","Prepare","P0","Blocked","Technical/admin custodian","Authority and access locks","Repo exists with private access and no secrets committed."
"BLD-003","Pin Ruby, Rails, Node, PostgreSQL, ImageMagick/libvips requirements","Prepare","P0","Hold","Technical/admin custodian","BLD-001","Runtime checklist matches Decidim requirements."
"BLD-004","Scaffold Decidim application","Build","P0","Blocked","Technical/admin custodian","BLD-001 to BLD-003","App boots locally or through provider environment."
"BLD-005","Configure fake/sample organisation spaces","Configure","P0","Hold","Pilot owner","BLD-004","Barayamal and Toastmasters sample spaces exist."
"BLD-006","Configure assemblies/components from v3.6 blueprint","Configure","P0","Hold","Pilot owner","BLD-004","Proposals, meetings, surveys, accountability configured sample-only."
"BLD-007","Configure role permissions","Configure","P0","Blocked","Technical/admin custodian","Access controls","Least-privilege roles mapped and revoke-tested."
"BLD-008","Disable real email invites until consent path passes","Assure","P0","Blocked","Privacy reviewer","EXE-006","No real email goes out before approval."
"BLD-009","Load fake seed records only","Configure","P0","Ready","Pilot owner","Fake data package","Seed import contains no real people or records."
"BLD-010","Run access revoke proof","Assure","P0","Hold","Technical/admin custodian","BLD-007","Revoked fake account cannot access spaces."
"BLD-011","Run backup/export/delete proof","Assure","P0","Hold","Technical/admin custodian","Environment path","Fake data can be backed up, exported, restored, and deleted."
"BLD-012","Run mobile/accessibility QA","Assure","P1","Ready","Pilot owner","BLD-005 to BLD-006","Core pilot flows work on mobile and keyboard."
"BLD-013","Run Barayamal controlled rehearsal","Rehearse","P0","Hold","Barayamal program operator","EXE-011","Findings logged and owner-routed."
"BLD-014","Run Toastmasters controlled rehearsal","Rehearse","P0","Hold","Training owner","EXE-012","Findings logged and owner-routed."
"BLD-015","Run Dean advisory review","Rehearse","P1","Ready","Dean trusted reviewer","REV-001 to REV-004","Advisory comments triaged as non-approval."
"BLD-016","Create support and incident handoff route","Assure","P0","Blocked","Support owner","EXE-007","Pause/withdraw/complaint route passes private drill."
"BLD-017","Create public-safe status page text","Communicate","P1","Hold","Comms lead","EXE-014","Public text states fake/sample and hold boundaries."
"BLD-018","Prepare rollback/no-go archive","Closeout","P0","Ready","Closeout archivist","No-go controls","Archive route works without private disclosure."
"BLD-019","Create pilot review decision pack","Closeout","P0","Hold","Meeting chair","EXE-013 to EXE-015","Proceed/hold/no-go options are evidence-backed."
"BLD-020","Open real intake decision gate","Decision","P0","Blocked","Authority chair","EXE-016","Authority, privacy, IDS, support, official-route, access, rollback, and comms owners approve."
