"id","minutesField","status","owner","instructions","publicBoundary"
"MIN-001","Meeting date and attendees","Ready","Meeting chair","Record private attendees and roles.","Publish count only."
"MIN-002","Boundary readout","Ready","Meeting chair","Record fake/sample-only statement.","Public status can repeat boundary."
"MIN-003","Quorum result","Hold","Meeting chair","Record passed/held/blocked quorum.","Status only."
"MIN-004","Dean advisory summary","Ready","Pilot owner","Record advisory themes and task routing.","No private comments."
"MIN-005","Owner ballots","Hold","Meeting chair","Record each vote, conditions, evidence, and cannot-approve boundary.","Aggregate status only."
"MIN-006","Critical blocker decisions","Hold","Meeting chair","Record closure, hold, no-go, or archive decisions.","No private reasons."
"MIN-007","Provider RFQ decision","Hold","Provider access owner","Record RFQ approval, held questions, and access boundaries.","Status only."
"MIN-008","Build ticket decision","Hold","Pilot owner","Record approved, held, and blocked tickets.","Ticket titles only if public-safe."
"MIN-009","Public status line","Ready","Comms lead","Record approved line or no-update decision.","Approved line only."
"MIN-010","No-go/archive option","Ready","Closeout archivist","Record whether no-go/archive remains open.","Public-safe archive line only."
"MIN-011","Action register","Hold","Pilot owner","Record owner, due date, blocker, next check.","Status only."
"MIN-012","Private evidence custody","Blocked","IDS/data reviewer","Record where private evidence is held.","Never public."
"MIN-013","Next meeting trigger","Hold","Meeting chair","Record what must happen before reconvening.","Public-safe milestone only."
"MIN-014","Final route","Hold","Meeting chair","Record hold, repeat, RFQ, self-build prep, no-go, or archive.","Public outcome line only."
