id,state,lane,owner,allowedData,publicRule,nextAction,stopCondition
IS-001,Public expression of interest,Public entry,Pilot coordinator,"Name, email, timezone, track interest in private workspace only",Aggregate count only,Send receipt and consent/withdrawal notice,Public form stores real contact details
IS-002,Demo invite sent,Demo,Pilot coordinator,Private invite status and meeting preference,No meeting link or invite list public,Send private meeting route and access support note,Meeting link appears in public evidence
IS-003,Demo attended,Demo,Moderator,"Attendance status only, no detailed transcript",Aggregate attendance only,"Offer founder, supporter, or pause path",Attendance list shared with supporters
IS-004,Founder candidate,Founder,Toastmasters launch lead,Founder readiness status and 18+ confirmation yes/no,Aggregate candidate count only,Confirm eligibility route and official process boundary,Founder counted before confirmation
IS-005,Founder confirmed,Founder,Toastmasters launch lead,Private founder status and official handoff readiness,Aggregate founder count only,Prepare official handoff outside public package,Official paperwork stored in Governance Commons public files
IS-006,Supporter or mentor,Supporter,Pilot coordinator,"Supporter role, availability, and public-safe preference",Supporter count only,Assign status-only updates unless private access is approved,Supporter receives member data by default
IS-007,Sponsor enquiry,Supporter,Pilot authority,"Sponsor organisation, contact, proposed support in private workspace",Public summary only after permission,Separate sponsorship discussion from membership records,Payment or sponsorship details enter public demo
IS-008,Access support requested,Access support,Access support contact,Minimum support request and preferred contact route,"Support offered only, no needs detail",Respond privately and minimise retained detail,Access needs copied to public notes or supporter updates
IS-009,Withdrawal requested,Withdrawal,Privacy reviewer,"Withdrawal request, response time, deletion/correction result",Aggregate withdrawal count only,Confirm deletion or correction privately,No owner or response clock for withdrawal
IS-010,Official handoff pending,Official handoff,Toastmasters launch lead,Checklist status without official forms in public package,Handoff pending summary only,Confirm official route and required documents outside package,Official forms or signatures uploaded to public repository
IS-011,Official handoff submitted,Official handoff,Toastmasters launch lead,"Submission status, date, and owner in private system",Submitted status only if appropriate,Track official response outside public evidence,Member numbers or official acceptance records exposed
IS-012,Official accepted summary,Official handoff,Pilot authority,Private acceptance reference and next obligation,Public wording checked before any announcement,Move to closeout and official next steps,Public page implies acceptance before official confirmation
IS-013,Inactive or no response,Dormant,Pilot coordinator,Last-contact status and deletion/retention clock,No individual status public,Close or delete according to retention rule,Dormant records kept without review date
IS-014,Aggregate-only public summary,Public summary,QA reviewer,"Counts, lessons, no-go flags, and next decision only",No real identities or private details,Publish only after redaction QA,Public summary can identify a person or private circumstance
