id,reviewItem,owner,status,decisionOption,acceptance,holdReason,publicBoundary
FOR-001,Final owner review: critical authority route missing,Authority chair,Blocked,Hold or no-go,Owner accepts critical authority route missing stress evidence privately.,Any unresolved Authority stress or evidence gap.,Status only; no private reasons or evidence.
FOR-002,Final owner review: privacy notice and consent gap,Privacy reviewer,Blocked,Hold or no-go,Owner accepts privacy notice and consent gap stress evidence privately.,Any unresolved Privacy stress or evidence gap.,Status only; no private reasons or evidence.
FOR-003,Final owner review: outbound real email escape,Privacy reviewer,Blocked,Hold or no-go,Owner accepts outbound real email escape stress evidence privately.,Any unresolved Privacy stress or evidence gap.,Status only; no private reasons or evidence.
FOR-004,Final owner review: export/delete/retention failure,IDS/data reviewer,Blocked,Hold or no-go,Owner accepts export/delete/retention failure stress evidence privately.,Any unresolved IDS/data stress or evidence gap.,Status only; no private reasons or evidence.
FOR-005,Final owner review: support complaint and pause route failure,Support owner,Blocked,Hold or no-go,Owner accepts support complaint and pause route failure stress evidence privately.,Any unresolved Support stress or evidence gap.,Status only; no private reasons or evidence.
FOR-006,Final owner review: official Toastmasters boundary drift,Official-route owner,Blocked,Hold or no-go,Owner accepts official Toastmasters boundary drift stress evidence privately.,Any unresolved FN Toastmasters stress or evidence gap.,Status only; no private reasons or evidence.
FOR-007,Final owner review: credential or log exposure,Security reviewer,Blocked,Hold or no-go,Owner accepts credential or log exposure stress evidence privately.,Any unresolved Security stress or evidence gap.,Status only; no private reasons or evidence.
FOR-008,Final owner review: private evidence custody leak,IDS/data reviewer,Blocked,Hold or no-go,Owner accepts private evidence custody leak stress evidence privately.,Any unresolved Evidence stress or evidence gap.,Status only; no private reasons or evidence.
FOR-009,Final owner review: business-sensitive field creep,Barayamal custodian,Hold,Repeat drill or prepare,Owner accepts business-sensitive field creep stress evidence privately.,Any unresolved Barayamal stress or evidence gap.,Status only; no private reasons or evidence.
FOR-010,Final owner review: guest support mistaken for member service,Training owner,Hold,Repeat drill or prepare,Owner accepts guest support mistaken for member service stress evidence privately.,Any unresolved FN Toastmasters stress or evidence gap.,Status only; no private reasons or evidence.
FOR-011,Final owner review: provider asks for real records,Provider access owner,Hold,Repeat drill or prepare,Owner accepts provider asks for real records stress evidence privately.,Any unresolved Provider stress or evidence gap.,Status only; no private reasons or evidence.
FOR-012,Final owner review: backup restore cannot be proven,Technical/admin custodian,Hold,Repeat drill or prepare,Owner accepts backup restore cannot be proven stress evidence privately.,Any unresolved Decidim build stress or evidence gap.,Status only; no private reasons or evidence.
FOR-013,Final owner review: role revoke fails,Technical/admin custodian,Hold,Repeat drill or prepare,Owner accepts role revoke fails stress evidence privately.,Any unresolved Access stress or evidence gap.,Status only; no private reasons or evidence.
FOR-014,Final owner review: admin handoff before training,Community admin trainer,Hold,Repeat drill or prepare,Owner accepts admin handoff before training stress evidence privately.,Any unresolved Training stress or evidence gap.,Status only; no private reasons or evidence.
FOR-015,Final owner review: private minutes accidentally public,Meeting chair,Hold,Ready with public-safe wording,Owner accepts private minutes accidentally public stress evidence privately.,Any unresolved Meeting stress or evidence gap.,Status only; no private reasons or evidence.
FOR-016,Final owner review: advisory comment treated as approval,Pilot owner,Ready,Ready with public-safe wording,Owner accepts advisory comment treated as approval stress evidence privately.,Any unresolved Dean review stress or evidence gap.,Status only; no private reasons or evidence.
FOR-017,Final owner review: public wording implies launch,Comms lead,Ready,Ready with public-safe wording,Owner accepts public wording implies launch stress evidence privately.,Any unresolved Comms stress or evidence gap.,Status only; no private reasons or evidence.
FOR-018,Final owner review: no-go route ignored,Closeout archivist,Ready,Ready with public-safe wording,Owner accepts no-go route ignored stress evidence privately.,Any unresolved Closeout stress or evidence gap.,Status only; no private reasons or evidence.
