id,scenario,severity,decision,owner,expectedAction,privateEvidence,publicSummary,noGo
TS-001,Real email accidentally added to public CSV,High,No-go,QA reviewer,"Stop release, remove file, audit history, check screenshots, document no-go privately",Private incident evidence,Public status only,Real contact detail remains public
TS-002,Participant asks to withdraw after intake opens,Medium,Hold,Privacy reviewer,"Confirm route works, remove/correct private record, record proof privately, update aggregate count only",Withdrawal proof,Aggregate status only,Withdrawal cannot be actioned
TS-003,Provider asks for sample production export,High,No-go,Technical custodian,"Deny real export, provide fake package only, require authority and contract before private access",Provider request record,Provider boundary only,Provider receives real private data
TS-004,Toastmasters member number entered in pilot form,High,No-go,Toastmasters launch lead,"Delete or move to official route, review form controls, pause intake until exclusion works",Official boundary evidence,External official status only,Official record remains in pilot tool
TS-005,Access support request includes sensitive details,Medium,Hold,Safety reviewer,"Move to private support route, limit access, check public evidence, confirm support owner",Support record private,Support offered summary only,Sensitive support details shared broadly
TS-006,Decidim admin role granted to wrong account,High,No-go,Technical custodian,"Revoke immediately, review logs, rotate access if needed, retest role register",Access log private,Access model only,Unapproved admin access persists
TS-007,Public learning note risks identifying a founder,Medium,Hold,QA reviewer,"Rewrite aggregate summary, raise threshold, get authority approval before publishing",Redaction QA notes,Public-safe pass/fail only,Small sample identity inference remains
TS-008,Backup restore fails during dry run,Medium,Hold,Technical custodian,Hold activation until backup/export/delete and restore proof pass,Technical drill evidence,Drill status only,Pilot opens without recovery proof
TS-009,Authority quorum missing on approval day,Medium,Hold,Pilot authority,Do not activate; reschedule or use approved delegation route,Meeting record private,Authority status only,Decision is made without quorum
TS-010,High-risk privacy question has no advice route,Medium,Hold,Pilot authority,"Pause decision, seek advice route, update threshold and decision record",Advice note private,Advice route status only,Unresolved high-risk uncertainty is waived
TS-011,All required checks pass with two conditions,Low,Approve with condition,Pilot authority,"Approve limited activation with explicit conditions, expiry, owner, review date, and stop trigger",Decision record private,Redacted status only,Conditions have no owner or expiry
TS-012,All required checks pass and monitor is scheduled,Low,Approve,Pilot authority,Approve controlled activation with 72-hour monitoring and closeout triggers,Decision record private,Redacted status only,Activation opens without monitoring
