id,linkedOwnerSprint,decision,status,requiredInput,blockedBy,allowedAction,publicOutcome
DCR-001,OSP-001,Proceed to limited private pilot,Blocked,Chair and alternate recorded with quorum authority.,No named chair or unclear authority route.,Do not proceed,No pilot approved
DCR-002,OSP-002,Closeout decision for REM-002,Open,Privacy reviewer accepts fake/sample-only wording.,Copy implies real intake or unclear withdrawal.,"Accept, hold, repeat, or no-go",Privacy and consent controls remain under private owner review.
DCR-003,OSP-003,Closeout decision for REM-003,In review,No real outbound email can send from the demo.,Any real email sends or live invite is implied.,"Accept, hold, repeat, or no-go",No outbound email is active for real participants.
DCR-004,OSP-004,Closeout decision for REM-004,Open,"Export, delete, retention, and custody pass privately.",Delete proof absent or retention unclear.,"Accept, hold, repeat, or no-go","Data export, deletion, and retention controls remain under private review."
DCR-005,OSP-005,Closeout decision for REM-005,Open,Support owner confirms pause and escalation route.,Complaint path has no owner or no pause route.,"Accept, hold, repeat, or no-go",Support routes are not live services.
DCR-006,OSP-006,Closeout decision for REM-006,Blocked,"No official member, payment, education, officer, or club workflow is active.",Any official Toastmasters workflow appears.,"Accept, hold, repeat, or no-go",First Nations Toastmasters remains a fake/sample guest and boundary tester only.
DCR-007,OSP-007,Closeout decision for REM-007,Open,Public package shows only aggregate status and custody placeholders.,Private evidence details appear publicly.,"Accept, hold, repeat, or no-go",Private evidence is not published in the public package.
DCR-008,OSP-008,Closeout decision for REM-008,Open,Provider real-record asks are rejected and redirected to fake/sample schemas only.,"Provider receives or is promised real records, official records, outbound email, credentials, logs, or live access.","Accept, hold, repeat, or no-go","No provider has access to real participant, organisation, or Toastmasters records."
DCR-009,OSP-009,Closeout decision for REM-009,Open,Guest support wording cannot read as official member service.,"Copy implies member service, officer, payment, education, or official record.","Accept, hold, repeat, or no-go",First Nations Toastmasters sample records do not represent official member services.
DCR-010,OSP-010,Closeout decision for REM-010,In review,Security reviewer accepts fake/sample environment proof.,"Credential, log, restore, or revoke proof missing.","Accept, hold, repeat, or no-go",No live Decidim access is approved by this public demo.
DCR-011,OSP-011,Closeout decision for REM-011,Open,"Admin access has expiry, revoke route, and owner approval.",Unrestricted or unowned admin access appears.,"Accept, hold, repeat, or no-go",No live admin access is approved by this public demo.
DCR-012,OSP-012,Closeout decision for REM-012,Open,"RFQ excludes real records, official Toastmasters data, outbound email, credentials, and live access.",Provider scope implies live or real-record access.,"Accept, hold, repeat, or no-go",Provider or self-build options remain under fake/sample-only review.
DCR-013,OSP-013,Closeout decision for REM-013,Open,Every required owner has an alternate and attendance state.,No quorum or missing owner alternate.,"Accept, hold, repeat, or no-go",Named owners must approve their own gates privately.
DCR-014,OSP-014,Closeout decision for REM-014,Ready after evidence,No real business-sensitive or contact fields appear.,Private owner acceptance still needed,"Accept, hold, repeat, or no-go",Barayamal remains a controlled fake/sample organisation test path.
DCR-015,OSP-015,Closeout decision for REM-015,Ready after evidence,Public line says preparation only and does not imply launch.,Private owner acceptance still needed,"Accept, hold, repeat, or no-go",The public demo remains a fake/sample preparation tool; no live pilot has been approved.
DCR-016,OSP-016,Closeout decision for REM-016,Ready after evidence,"Reviewers can follow agenda, evidence, closeout, and decision paths.",Private owner acceptance still needed,"Accept, hold, repeat, or no-go",The demo now includes an owner closeout sprint layer.
DCR-017,OSP-017,Closeout decision for REM-017,Open,"Proceed, repeat, and no-go/archive options are explicit.",Decision minute implies proceed before closeout.,"Accept, hold, repeat, or no-go","The next valid step is closeout sprint, repeat testing, or no-go/archive."
DCR-018,OSP-018,Closeout decision for REM-018,Scheduled after closeout,"Calendar, quorum, evidence folder, and stop triggers are confirmed.",Repeat run starts before P0 closeout readiness.,"Accept, hold, repeat, or no-go",Preparation continues; no pilot has been approved.
