"id","blocker","severity","status","owner","resolutionMotion","closeTest","fallback"
"RES-001","Authority route evidence missing.","Critical","Open","Authority chair","Hold all real intake until authority note passes.","Authority note accepted.","No-go/archive or repeat prep."
"RES-002","Consent notice not accepted.","Critical","Open","Privacy reviewer","Hold private invitations until notice passes.","Notice and withdrawal route accepted.","Repeat fake-data only."
"RES-003","IDS/data lifecycle proof incomplete.","Critical","Open","IDS/data reviewer","Hold real data processing until export/delete/archive proof passes.","Lifecycle proof accepted.","Provider RFQ asks lifecycle evidence."
"RES-004","Support route not drilled.","Critical","Open","Support owner","Hold private invitations until support drill passes.","Support drill accepted.","No participant-facing activity."
"RES-005","Official Toastmasters boundary unresolved.","Critical","Open","Official-route owner","Keep member/official workflows out of Decidim.","Boundary note accepted.","Guest-only fake rehearsal only."
"RES-006","Email invite lock not proven.","Critical","Open","Privacy reviewer","Block any private Decidim invite until email lock passes.","No real outbound email can send.","Static demo only."
"RES-007","Self-build dependencies missing.","High","Open","Technical/admin custodian","Use provider-assisted RFQ or prepare dependencies before self-build.","Dependency plan or provider route chosen.","Hold build."
"RES-008","Backup/restore/delete proof not run.","High","Open","Technical/admin custodian","Require fake lifecycle proof in RFQ/build tickets.","Proof passes.","No real data."
"RES-009","Provider access terms not drafted.","High","Open","Provider access owner","RFQ must include access, deletion, export, exit, support.","Provider terms accepted.","No provider access."
"RES-010","Security monitoring and secrets path missing.","High","Open","Security reviewer","Hold build until secrets/logs/monitoring plan exists.","Security plan accepted.","No live app."
"RES-011","Barayamal sensitive field schedule blocked.","High","Open","Barayamal custodian","Remove sensitive fields before any Barayamal private prep.","Minimum field schedule passes.","Fake sample only."
"RES-012","Toastmasters feedback support route incomplete.","High","Open","Support owner","Separate feedback, support, complaint, incident routing.","Support route passes.","No guest workflow."
"RES-013","Admin training not scheduled.","Medium","Open","Community admin trainer","Schedule admin training before admin access.","Training date and script accepted.","No admin handoff."
"RES-014","Mobile/accessibility QA owner not assigned.","Medium","Open","Accessibility reviewer","Assign QA owner and acceptance script.","QA script accepted.","No participant workflow."
"RES-015","Ticket priority review incomplete.","Medium","Open","Pilot owner","Review P0/P1 ticket scope.","Tickets owner-routed.","Manual backlog only."
"RES-016","GitHub import scope limited.","Medium","Open","Technical/admin custodian","Manual import or update GitHub auth scope.","Tickets can be imported or manually created.","CSV handoff only."
"RES-017","Public wording could imply approval.","Medium","Ready","Comms lead","Use approved v4.9 hold language.","Public line reviewed.","No public update."
"RES-018","No-go/archive date missing.","Low","Ready","Closeout archivist","Add meeting date to archive line.","Archive line dated.","Hold archive update."
"RES-019","Dean comments need owner routing.","Medium","Ready","Pilot owner","Turn comments into owner tasks only.","Tasks created.","Hold advisory comments."
"RES-020","Minutes cannot include private evidence in public package.","High","Ready","Meeting chair","Keep minutes private and publish only status line.","Public/private boundary passes.","No public minutes."
