id,scenario,track,severity,status,owner,failureInjected,passCondition,containment,linkedGate
STS-001,Stress critical authority route missing,Authority,Critical,Blocked,Authority chair,Inject a fake/sample critical authority route missing event and require the owner to prove the control response.,"Pass only if Authority chair accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-001
STS-002,Stress privacy notice and consent gap,Privacy,Critical,Blocked,Privacy reviewer,Inject a fake/sample privacy notice and consent gap event and require the owner to prove the control response.,"Pass only if Privacy reviewer accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-002
STS-003,Stress outbound real email escape,Privacy,Critical,Blocked,Privacy reviewer,Inject a fake/sample outbound real email escape event and require the owner to prove the control response.,"Pass only if Privacy reviewer accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-003
STS-004,Stress export/delete/retention failure,IDS/data,Critical,Blocked,IDS/data reviewer,Inject a fake/sample export/delete/retention failure event and require the owner to prove the control response.,"Pass only if IDS/data reviewer accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-004
STS-005,Stress support complaint and pause route failure,Support,Critical,Blocked,Support owner,Inject a fake/sample support complaint and pause route failure event and require the owner to prove the control response.,"Pass only if Support owner accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-005
STS-006,Stress official Toastmasters boundary drift,FN Toastmasters,Critical,Blocked,Official-route owner,Inject a fake/sample official Toastmasters boundary drift event and require the owner to prove the control response.,"Pass only if Official-route owner accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-006
STS-007,Stress credential or log exposure,Security,Critical,Blocked,Security reviewer,Inject a fake/sample credential or log exposure event and require the owner to prove the control response.,"Pass only if Security reviewer accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-007
STS-008,Stress private evidence custody leak,Evidence,Critical,Blocked,IDS/data reviewer,Inject a fake/sample private evidence custody leak event and require the owner to prove the control response.,"Pass only if IDS/data reviewer accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-008
STS-009,Stress business-sensitive field creep,Barayamal,High,Hold,Barayamal custodian,Inject a fake/sample business-sensitive field creep event and require the owner to prove the control response.,"Pass only if Barayamal custodian accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-009
STS-010,Stress guest support mistaken for member service,FN Toastmasters,High,Hold,Training owner,Inject a fake/sample guest support mistaken for member service event and require the owner to prove the control response.,"Pass only if Training owner accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-010
STS-011,Stress provider asks for real records,Provider,High,Hold,Provider access owner,Inject a fake/sample provider asks for real records event and require the owner to prove the control response.,"Pass only if Provider access owner accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-011
STS-012,Stress backup restore cannot be proven,Decidim build,High,Hold,Technical/admin custodian,Inject a fake/sample backup restore cannot be proven event and require the owner to prove the control response.,"Pass only if Technical/admin custodian accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-012
STS-013,Stress role revoke fails,Access,High,Hold,Technical/admin custodian,Inject a fake/sample role revoke fails event and require the owner to prove the control response.,"Pass only if Technical/admin custodian accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-013
STS-014,Stress admin handoff before training,Training,Medium,Hold,Community admin trainer,Inject a fake/sample admin handoff before training event and require the owner to prove the control response.,"Pass only if Community admin trainer accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-014
STS-015,Stress private minutes accidentally public,Meeting,High,Hold,Meeting chair,Inject a fake/sample private minutes accidentally public event and require the owner to prove the control response.,"Pass only if Meeting chair accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-015
STS-016,Stress advisory comment treated as approval,Dean review,Medium,Ready,Pilot owner,Inject a fake/sample advisory comment treated as approval event and require the owner to prove the control response.,"Pass only if Pilot owner accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-016
STS-017,Stress public wording implies launch,Comms,High,Ready,Comms lead,Inject a fake/sample public wording implies launch event and require the owner to prove the control response.,"Pass only if Comms lead accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-017
STS-018,Stress no-go route ignored,Closeout,Medium,Ready,Closeout archivist,Inject a fake/sample no-go route ignored event and require the owner to prove the control response.,"Pass only if Closeout archivist accepts evidence, records rollback, and keeps real data blocked.",Use approved hold/no-go line; do not publish private evidence or owner reasons.,EGA-018
