id,rollback,track,severity,status,owner,trigger,killSwitch,publicLine
RBD-001,Rollback rehearsal: critical authority route missing,Authority,Critical,Blocked,Authority chair,Fake/sample critical authority route missing is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-002,Rollback rehearsal: privacy notice and consent gap,Privacy,Critical,Blocked,Privacy reviewer,Fake/sample privacy notice and consent gap is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-003,Rollback rehearsal: outbound real email escape,Privacy,Critical,Blocked,Privacy reviewer,Fake/sample outbound real email escape is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-004,Rollback rehearsal: export/delete/retention failure,IDS/data,Critical,Blocked,IDS/data reviewer,Fake/sample export/delete/retention failure is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-005,Rollback rehearsal: support complaint and pause route failure,Support,Critical,Blocked,Support owner,Fake/sample support complaint and pause route failure is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-006,Rollback rehearsal: official Toastmasters boundary drift,FN Toastmasters,Critical,Blocked,Official-route owner,Fake/sample official Toastmasters boundary drift is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-007,Rollback rehearsal: credential or log exposure,Security,Critical,Blocked,Security reviewer,Fake/sample credential or log exposure is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-008,Rollback rehearsal: private evidence custody leak,Evidence,Critical,Blocked,IDS/data reviewer,Fake/sample private evidence custody leak is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",No private pilot has been approved.
RBD-009,Rollback rehearsal: business-sensitive field creep,Barayamal,High,Hold,Barayamal custodian,Fake/sample business-sensitive field creep is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-010,Rollback rehearsal: guest support mistaken for member service,FN Toastmasters,High,Hold,Training owner,Fake/sample guest support mistaken for member service is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-011,Rollback rehearsal: provider asks for real records,Provider,High,Hold,Provider access owner,Fake/sample provider asks for real records is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-012,Rollback rehearsal: backup restore cannot be proven,Decidim build,High,Hold,Technical/admin custodian,Fake/sample backup restore cannot be proven is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-013,Rollback rehearsal: role revoke fails,Access,High,Hold,Technical/admin custodian,Fake/sample role revoke fails is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-014,Rollback rehearsal: admin handoff before training,Training,Medium,Hold,Community admin trainer,Fake/sample admin handoff before training is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-015,Rollback rehearsal: private minutes accidentally public,Meeting,High,Hold,Meeting chair,Fake/sample private minutes accidentally public is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-016,Rollback rehearsal: advisory comment treated as approval,Dean review,Medium,Ready,Pilot owner,Fake/sample advisory comment treated as approval is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-017,Rollback rehearsal: public wording implies launch,Comms,High,Ready,Comms lead,Fake/sample public wording implies launch is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-018,Rollback rehearsal: no-go route ignored,Closeout,Medium,Ready,Closeout archivist,Fake/sample no-go route ignored is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-019,Rollback rehearsal: ticket scope implies real launch,Build handoff,Medium,Ready,Pilot owner,Fake/sample ticket scope implies real launch is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-020,Rollback rehearsal: RFQ scope expands after response,Provider,High,Ready,Provider access owner,Fake/sample RFQ scope expands after response is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-021,Rollback rehearsal: manual issue fallback unavailable,Build handoff,Low,Ready,Technical/admin custodian,Fake/sample manual issue fallback unavailable is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
RBD-022,Rollback rehearsal: mobile or keyboard flow fails,QA,Medium,Ready,Accessibility reviewer,Fake/sample mobile or keyboard flow fails is detected during private prep.,"Pause workflow, revoke access where relevant, preserve private evidence, and return to owner review.",Preparation remains in progress.
