id,from,to,status,dependency,evidence,noGo
DEP-001,Organisation onboarding,Private pilot readiness,Ready,Onboarding data boundary must be accepted before private pilot scope,organisation-onboarding-package-v2.5.json,Private pilot scope starts before organisation boundary is understood
DEP-002,Private pilot readiness,Pilot operations rehearsal,Ready,Readiness gates must exist before run-day operations are rehearsed,private-pilot-package-v2.6.json,Ops rehearsal assumes unapproved private fields
DEP-003,Pilot operations rehearsal,Private implementation preparation,Ready,"Run-day support, incident, handoff, and deletion paths inform implementation controls",private-pilot-ops-package-v2.7.json,Implementation omits run-day incident or support controls
DEP-004,Private implementation preparation,Controlled launch design,Ready,"Private environment, schema, access, and dry run must shape launch gates",private-pilot-implementation-package-v2.8.json,Launch opens before environment and access are approved
DEP-005,Controlled launch design,Pilot closeout decision,Ready,Launch metrics and first-30-day review must feed closeout decision,private-pilot-launch-package-v2.9.json,Launch has no closeout trigger
DEP-006,Pilot closeout decision,Authority approval,Ready,"Any repeat, scale, or second pilot must use closeout evidence and authority route",private-pilot-closeout-package-v3.0.json,Second pilot starts from momentum
DEP-007,Authority approval,Activation drill,Hold,"Authority, IDS, privacy, access, notice, and environment approval must be rehearsed",private-pilot-authority-package-v3.1.json,Drill runs without authority owners
DEP-008,Activation drill,Real activation decision,Hold,"Signoff, tabletop, evidence packet, rehearsal tasks, and monitoring must pass",private-pilot-activation-drill-package-v3.2.json,Activation opens without rehearsal
DEP-009,Official Toastmasters pathway,All private pilot stages,Hold,Official records stay outside public and unapproved private pilot tools,Toastmasters source anchors and handoff rules,Official records enter public files
DEP-010,Provider/build handoff,Private implementation preparation,Hold,"Provider receives fake/sample package until authority, contract, and privacy path pass",build partner and delivery packages,Provider gets real participant data
DEP-011,Public QA,Every public release,Ready,"Each release excludes screenshots, server files, and private data; all manifest entrypoints return 200",release validation and QA screenshots,Public package leaks excluded artifacts
DEP-012,Incident/breach response,Activation and monitoring,Hold,"Incident pause, breach assessment, notification route, and support owner must be rehearsed",v3.2 tabletop and monitor checks,Incident route is improvised
DEP-013,Indigenous Data Sovereignty,Authority and reporting,Hold,"Data classes, authority, benefit, reporting, retention, and deletion must be approved",v3.1 data governance controls,Data is reused because it is available
DEP-014,Privacy and consent,"Intake, support, retention",Hold,"Notice, consent, withdrawal, correction, access, retention, and deletion must be approved",v3.1 PIA and participant notice,People submit info without clear notice
DEP-015,First-72-hour monitor,Real activation decision,Blocked,Activation cannot continue without early checks and authority checkpoint,v3.2 monitor checks,Activation has no early review
DEP-016,Control tower review,Next meeting,Ready,This v3.3 view becomes the single review route for blockers and next decisions,control tower package v3.3,Reviewers cannot see blocker chain
