id,linkedRunBlock,scenario,area,priority,owner,defaultState,testPrompt,passEvidence,blockedData,publicSafeLine
SCN-001,RRS-001,Authority minute replay,Authority,P0,Authority chair,Blocked,Replay the authority acceptance path using fake records and private minute shell.,Authority owner confirms quorum and decision rights.,Any real authority record or unresolved quorum.,No pilot has been approved.
SCN-002,RRS-002,Consent withdrawal boundary,Privacy,P0,Privacy reviewer,Blocked,Simulate a participant withdrawal using fake data and verify deletion/export boundaries.,Privacy owner accepts consent and withdrawal controls.,Real participant details or outbound contact.,No real participant records are used.
SCN-003,RRS-003,IDS/data redaction and custody,IDS/data,P0,IDS/data steward,Blocked,"Run fake evidence export and confirm redaction, retention, and private storage.",IDS/data owner accepts custody and redaction.,Unredacted private evidence.,Private evidence is not published.
SCN-004,RRS-004,Official Toastmasters no-record check,Official boundary,P0,Official-route owner,Blocked,"Confirm the test never touches official member, payment, education, officer, or club records.",Official-route owner accepts boundary.,Official Toastmasters records or endorsement claims.,Official Toastmasters workflows are not active.
SCN-005,RRS-005,Barayamal founder proposal,Barayamal,P1,Barayamal sample owner,Ready,Create and support a fake founder/business-owner proposal.,Sample owner accepts the fake-data path.,"Real ABNs, revenue, contact, client, or business records.",Barayamal remains a controlled fake/sample organisation test.
SCN-006,RRS-005,Barayamal business-owner moderation,Barayamal,P1,Barayamal sample owner,Ready,Test moderation and evidence capture for a fake business-owner comment.,Moderation note and evidence reference captured.,Real private business issues or cultural material.,Barayamal remains fake/sample only.
SCN-007,RRS-006,First Nations Toastmasters guest inquiry,FN Toastmasters,P1,FN Toastmasters sample owner,Ready,Submit a fake guest inquiry and verify it stays outside official systems.,Sample owner accepts guest-boundary result.,Official member or club records.,First Nations Toastmasters remains an unofficial fake/sample tester.
SCN-008,RRS-006,First Nations Toastmasters member-boundary support,FN Toastmasters,P1,FN Toastmasters sample owner,Ready,Test a fake member-boundary support action without official member identifiers.,Sample owner accepts member-boundary result.,"Official member numbers, payments, education records, officer roles, club records, incidents, or elections.",No official Toastmasters workflow is active.
SCN-009,RRS-008,Provider real-record refusal,Provider,P0,Provider access owner,Blocked,Ask provider path to request records and verify the refusal/RFQ boundary holds.,Provider access owner accepts no-real-record proof.,"Provider access to real participant, organisation, or Toastmasters records.","No provider has access to real participant, organisation, or Toastmasters records."
SCN-010,RRS-007,Public preparation-only wording,Communications,P0,Comms lead,Hold,"Generate public line and check it does not imply launch, pilot approval, official workflow, or provider access.",Comms lead accepts the wording.,Overclaiming public status.,Public status can say preparation only.
SCN-011,RRS-009,Evidence capture and redaction,Evidence,P0,Evidence custodian,Hold,Capture fake evidence and produce a redacted export shell.,Evidence custodian accepts the redaction and export boundary.,Publishing private evidence contents.,Private evidence is not published.
SCN-012,RRS-010,Offline yarning import sample,Support,P1,Support owner,Conditional,Import fake offline/yarning-circle notes with consent and withdrawal markers.,Support owner accepts import and withdrawal route.,"Real names, cultural details, or sensitive stories.",Offline import remains fake/sample only.
SCN-013,RRS-011,Low-bandwidth/mobile repeat check,Technical,P1,Technical custodian,Ready,Run the fake/sample flow on mobile width and low-bandwidth assumptions.,Technical custodian accepts usability evidence.,Production credentials or live systems.,Technical test remains fake/sample only.
SCN-014,RRS-012,Final decision lock,Decision,P0,Meeting chair,Blocked,Confirm each P0 scenario has pass/hold/block status and a private owner decision.,Private post-run decision minute accepted.,Any P0 result without owner signoff.,Repeat P0 result is private until accepted.
