"id","check","status","owner","passCondition","privateEvidence","publicBoundary"
"CON-001","Plain-language notice understood","Hold","Consent owner","Participant sees purpose, data, access, retention, withdrawal, and support.","Private acknowledgement.","Do not publish names or signatures."
"CON-002","Authority pathway confirmed","Blocked","Authority chair","The correct authority owner has approved the pathway.","Private authority reference.","No authority minutes public."
"CON-003","Privacy field schedule approved","Blocked","Privacy reviewer","Only approved minimum fields are collected.","Private privacy note.","No private field evidence public."
"CON-004","IDS/data governance approved","Blocked","IDS/data reviewer","Control, access, retention, export, and delete terms are approved.","Private data governance note.","No data governance evidence public."
"CON-005","Official Toastmasters boundary accepted","Blocked","Official-route owner","Official member records, education records, payments, and club records stay external.","Private official-route statement.","No member numbers public."
"CON-006","Withdrawal route understood","Hold","Consent owner","Participant can pause or withdraw without penalty.","Private acknowledgement.","No withdrawal evidence public."
"CON-007","Support route available","Blocked","Support owner","Participant can request support, complaint handling, and incident escalation.","Private support proof.","No support details public."
"CON-008","Role and access limits accepted","Hold","Technical custodian","Participant understands role-based access and revocation.","Private access notice.","No access logs public."
"CON-009","Recording and meeting boundary","Hold","Meeting facilitator","Meeting notes, attendance, evaluations, and recordings follow approved rules.","Private meeting rule.","No evaluation records public."
"CON-010","Comms opt-in boundary","Hold","Comms lead","Public quotes, names, photos, or stories need separate approval.","Private comms permission.","No public story by default."
"CON-011","Fake-data rehearsal reminder","Ready","Triage reviewer","Public demo and rehearsal use fake data only.","Public-safe reminder.","Can publish."
"CON-012","Data correction route","Hold","Privacy reviewer","Participant can request correction and deletion routes.","Private request path.","No private request public."
"CON-013","Guardian or proxy boundary","Hold","Authority chair","Proxy/guardian rules, if any, are approved privately.","Private authority record.","No sensitive relationship records public."
"CON-014","Consent closeout","Hold","Consent owner","Consent state is closed, retained, deleted, or archived under approved rule.","Private closeout record.","Publish only aggregate status."
