id,check,status,owner,proof,failureAction,publicBoundary
"SBX-001","Fake account roster","Ready","Technical/admin custodian","Roster contains fake users only.","Stop rehearsal.","No real names public."
"SBX-002","Role permissions","Hold","Technical/admin custodian","Roles match owner matrix.","Fix permissions before meeting.","No permission exports public."
"SBX-003","Access revoke","Hold","Technical/admin custodian","Revoke tested for fake accounts.","Block sandbox rehearsal.","No access logs public."
"SBX-004","Backup and restore","Hold","Technical/admin custodian","Fake-data backup/restore works.","Block launch route.","No backups public."
"SBX-005","Export and delete","Hold","Technical/admin custodian","Fake-data export/delete works.","Block consent closeout.","No exports public."
"SBX-006","Private evidence folder","Blocked","Pilot owner","Evidence folder access is private and approved.","Do not run approval meeting.","No private evidence public."
"SBX-007","Meeting agenda loaded","Ready","Training/facilitation owner","Agenda and motions are available.","Delay meeting.","Agenda summary only."
"SBX-008","Support route tested","Blocked","Support owner","Pause, withdrawal, complaint, incident route tested with fake record.","Block real intake.","No support details public."
"SBX-009","Privacy/IDS review lane","Blocked","Privacy and IDS reviewers","Review lanes and evidence boundaries are available.","Block data decisions.","No private notes public."
"SBX-010","Official Toastmasters boundary lane","Blocked","Official-route owner","Member/guest boundary review lane is available.","Hold member route.","No member records public."
"SBX-011","Barayamal scenario loaded","Hold","Barayamal program operator","Founder/business-owner fake-data scenario is loaded.","Run public-safe scenario only.","No real business data."
"SBX-012","Dean reviewer lane","Ready","Pilot owner","Advisory lane is labelled non-approval.","Correct labels.","Advisory only."
"SBX-013","Public update draft","Ready","Comms lead","Public-safe hold update drafted.","Delay publication.","No private evidence."
"SBX-014","Closeout archive","Hold","Closeout archivist","Archive/no-go/export/delete route documented.","Do not close meeting.","Public status only."
