"id","route","status","whenToUse","owner","publicOutput","privateHandling"
"NGA-001","Hold and fix blockers","Available","Any critical ballot remains blocked.","Meeting chair","Preparation remains in progress.","Private blocker plan."
"NGA-002","Repeat fake/sample owner meeting","Available","Owners need more evidence or revised wording.","Meeting chair","A further private review is planned.","Private minutes."
"NGA-003","Provider RFQ only","Hold","Build route can be explored safely with fake/sample scope.","Provider access owner","Build route under private review.","RFQ responses private."
"NGA-004","Self-build dependency prep only","Hold","Self-build dependencies need preparation before app scaffold.","Technical/admin custodian","Self-build prerequisites are being reviewed.","Environment evidence private."
"NGA-005","Barayamal-only sample repeat","Hold","Barayamal sample is useful but other lanes blocked.","Barayamal program operator","Barayamal sample preparation continues.","Business-sensitive details private."
"NGA-006","Toastmasters guest-only sample repeat","Hold","Guest-only lane needs another fake rehearsal.","Training owner","Guest-only sample preparation continues.","Official records remain outside Decidim."
"NGA-007","Limited private pilot","Blocked","All critical owner ballots pass privately.","Authority chair","Limited private pilot approved only if owners approve wording.","Private decision record."
"NGA-008","No-go","Available","Authority, privacy, support, IDS/data, official-route, security, or provider risk cannot be resolved.","Meeting chair","Project will not proceed at this time.","Private reasons stay private."
"NGA-009","Archive public-demo-only","Available","Demo remains useful but real pilot is inappropriate now.","Closeout archivist","Public demo remains a learning artefact.","Private evidence archived separately."
"NGA-010","Pause pending official Toastmasters boundary","Available","Official-route owner cannot pass boundary.","Official-route owner","Toastmasters official workflows are not open.","Official correspondence private."
"NGA-011","Pause pending data governance","Available","IDS/data or privacy proof remains blocked.","IDS/data reviewer","Data governance review continues privately.","Data evidence private."
"NGA-012","Close public update","Ready","No public-safe line can be approved.","Comms lead","No public update issued.","Private minutes only."
