id,linkedDecision,linkedOwnerSprint,decision,owner,defaultOutcome,requiredInput,blocker,allowedAction,publicOutcome
DSV-001,DCR-001,OSP-001,Proceed to limited private pilot,Authority chair,No-go or hold,Chair and alternate recorded with quorum authority.,No named chair or unclear authority route.,Do not proceed,No pilot approved
DSV-002,DCR-002,OSP-002,Closeout decision for REM-002,Privacy reviewer,Hold,Privacy reviewer accepts fake/sample-only wording.,Copy implies real intake or unclear withdrawal.,"Accept, hold, repeat, or no-go",Privacy and consent controls remain under private owner review.
DSV-003,DCR-003,OSP-003,Closeout decision for REM-003,Privacy reviewer,Hold,No real outbound email can send from the demo.,Any real email sends or live invite is implied.,"Accept, hold, repeat, or no-go",No outbound email is active for real participants.
DSV-004,DCR-004,OSP-004,Closeout decision for REM-004,IDS/data reviewer,Hold,"Export, delete, retention, and custody pass privately.",Delete proof absent or retention unclear.,"Accept, hold, repeat, or no-go","Data export, deletion, and retention controls remain under private review."
DSV-005,DCR-005,OSP-005,Closeout decision for REM-005,Support owner,Hold,Support owner confirms pause and escalation route.,Complaint path has no owner or no pause route.,"Accept, hold, repeat, or no-go",Support routes are not live services.
DSV-006,DCR-006,OSP-006,Closeout decision for REM-006,Official-route owner,No-go or hold,"No official member, payment, education, officer, or club workflow is active.",Any official Toastmasters workflow appears.,"Accept, hold, repeat, or no-go",First Nations Toastmasters remains a fake/sample guest and boundary tester only.
DSV-007,DCR-007,OSP-007,Closeout decision for REM-007,IDS/data reviewer,Hold,Public package shows only aggregate status and custody placeholders.,Private evidence details appear publicly.,"Accept, hold, repeat, or no-go",Private evidence is not published in the public package.
DSV-008,DCR-008,OSP-008,Closeout decision for REM-008,Provider access owner,Hold,Provider real-record asks are rejected and redirected to fake/sample schemas only.,"Provider receives or is promised real records, official records, outbound email, credentials, logs, or live access.","Accept, hold, repeat, or no-go","No provider has access to real participant, organisation, or Toastmasters records."
DSV-009,DCR-009,OSP-009,Closeout decision for REM-009,Training owner,Hold,Guest support wording cannot read as official member service.,"Copy implies member service, officer, payment, education, or official record.","Accept, hold, repeat, or no-go",First Nations Toastmasters sample records do not represent official member services.
DSV-010,DCR-010,OSP-010,Closeout decision for REM-010,Security reviewer,Hold,Security reviewer accepts fake/sample environment proof.,"Credential, log, restore, or revoke proof missing.","Accept, hold, repeat, or no-go",No live Decidim access is approved by this public demo.
DSV-011,DCR-011,OSP-011,Closeout decision for REM-011,Security reviewer,Hold,"Admin access has expiry, revoke route, and owner approval.",Unrestricted or unowned admin access appears.,"Accept, hold, repeat, or no-go",No live admin access is approved by this public demo.
DSV-012,DCR-012,OSP-012,Closeout decision for REM-012,Provider access owner,Hold,"RFQ excludes real records, official Toastmasters data, outbound email, credentials, and live access.",Provider scope implies live or real-record access.,"Accept, hold, repeat, or no-go",Provider or self-build options remain under fake/sample-only review.
DSV-013,DCR-013,OSP-013,Closeout decision for REM-013,Meeting chair,Hold,Every required owner has an alternate and attendance state.,No quorum or missing owner alternate.,"Accept, hold, repeat, or no-go",Named owners must approve their own gates privately.
DSV-014,DCR-014,OSP-014,Closeout decision for REM-014,Barayamal custodian,Accept after evidence,No real business-sensitive or contact fields appear.,Private owner acceptance still needed,"Accept, hold, repeat, or no-go",Barayamal remains a controlled fake/sample organisation test path.
DSV-015,DCR-015,OSP-015,Closeout decision for REM-015,Comms lead,Accept after evidence,Public line says preparation only and does not imply launch.,Private owner acceptance still needed,"Accept, hold, repeat, or no-go",The public demo remains a fake/sample preparation tool; no live pilot has been approved.
DSV-016,DCR-016,OSP-016,Closeout decision for REM-016,Documentation owner,Accept after evidence,"Reviewers can follow agenda, evidence, closeout, and decision paths.",Private owner acceptance still needed,"Accept, hold, repeat, or no-go",The demo now includes an owner closeout sprint layer.
DSV-017,DCR-017,OSP-017,Closeout decision for REM-017,Meeting chair,Hold,"Proceed, repeat, and no-go/archive options are explicit.",Decision minute implies proceed before closeout.,"Accept, hold, repeat, or no-go","The next valid step is closeout sprint, repeat testing, or no-go/archive."
DSV-018,DCR-018,OSP-018,Closeout decision for REM-018,Meeting chair,Hold,"Calendar, quorum, evidence folder, and stop triggers are confirmed.",Repeat run starts before P0 closeout readiness.,"Accept, hold, repeat, or no-go",Preparation continues; no pilot has been approved.
