id,sampleRecord,segment,status,fakeFields,blockedFields,runPurpose
BAR-001,Fake Barayamal founder/business-owner sample 1,Founder,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-002,Fake Barayamal founder/business-owner sample 2,Business owner,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-003,Fake Barayamal founder/business-owner sample 3,Mentor/supporter,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-004,Fake Barayamal founder/business-owner sample 4,Founder,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-005,Fake Barayamal founder/business-owner sample 5,Business owner,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-006,Fake Barayamal founder/business-owner sample 6,Mentor/supporter,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-007,Fake Barayamal founder/business-owner sample 7,Founder,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-008,Fake Barayamal founder/business-owner sample 8,Business owner,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-009,Fake Barayamal founder/business-owner sample 9,Mentor/supporter,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-010,Fake Barayamal founder/business-owner sample 10,Founder,Ready,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-011,Fake Barayamal founder/business-owner sample 11,Business owner,Hold,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-012,Fake Barayamal founder/business-owner sample 12,Mentor/supporter,Hold,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-013,Fake Barayamal founder/business-owner sample 13,Founder,Hold,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
BAR-014,Fake Barayamal founder/business-owner sample 14,Business owner,Hold,"Alias, sample region, sample interest, sample support need, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material","Test safe onboarding, feedback, resource, and program pathways without real business-sensitive data"
