id,threshold,stage,status,owner,minimumPass,autoHold,noGoTrigger
DTR-001,Decision threshold for Authority,Before private pilot consideration,Blocked,Authority chair,Private owner pass plus accepted stress evidence.,Any missing evidence for critical authority route missing.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-002,Decision threshold for Privacy,Before private pilot consideration,Blocked,Privacy reviewer,Private owner pass plus accepted stress evidence.,Any missing evidence for privacy notice and consent gap.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-003,Decision threshold for Privacy,Before private pilot consideration,Blocked,Privacy reviewer,Private owner pass plus accepted stress evidence.,Any missing evidence for outbound real email escape.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-004,Decision threshold for IDS/data,Before private pilot consideration,Blocked,IDS/data reviewer,Private owner pass plus accepted stress evidence.,Any missing evidence for export/delete/retention failure.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-005,Decision threshold for Support,Before private pilot consideration,Blocked,Support owner,Private owner pass plus accepted stress evidence.,Any missing evidence for support complaint and pause route failure.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-006,Decision threshold for FN Toastmasters,Before private pilot consideration,Blocked,Official-route owner,Private owner pass plus accepted stress evidence.,Any missing evidence for official Toastmasters boundary drift.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-007,Decision threshold for Security,Before private pilot consideration,Blocked,Security reviewer,Private owner pass plus accepted stress evidence.,Any missing evidence for credential or log exposure.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-008,Decision threshold for Evidence,Before private pilot consideration,Blocked,IDS/data reviewer,Private owner pass plus accepted stress evidence.,Any missing evidence for private evidence custody leak.,Repeat P0 failure or owner authority cannot be confirmed.
DTR-009,Decision threshold for Barayamal,Before provider/self-build activation,Hold,Barayamal custodian,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for business-sensitive field creep.,"Unsafe public claim, data access, or support gap repeats."
DTR-010,Decision threshold for FN Toastmasters,Before provider/self-build activation,Hold,Training owner,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for guest support mistaken for member service.,"Unsafe public claim, data access, or support gap repeats."
DTR-011,Decision threshold for Provider,Before provider/self-build activation,Hold,Provider access owner,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for provider asks for real records.,"Unsafe public claim, data access, or support gap repeats."
DTR-012,Decision threshold for Decidim build,Before provider/self-build activation,Hold,Technical/admin custodian,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for backup restore cannot be proven.,"Unsafe public claim, data access, or support gap repeats."
DTR-013,Decision threshold for Access,Before provider/self-build activation,Hold,Technical/admin custodian,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for role revoke fails.,"Unsafe public claim, data access, or support gap repeats."
DTR-014,Decision threshold for Training,Before provider/self-build activation,Hold,Community admin trainer,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for admin handoff before training.,"Unsafe public claim, data access, or support gap repeats."
DTR-015,Decision threshold for Meeting,Before public status refresh,Hold,Meeting chair,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for private minutes accidentally public.,"Unsafe public claim, data access, or support gap repeats."
DTR-016,Decision threshold for Dean review,Before public status refresh,Ready,Pilot owner,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for advisory comment treated as approval.,"Unsafe public claim, data access, or support gap repeats."
DTR-017,Decision threshold for Comms,Before public status refresh,Ready,Comms lead,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for public wording implies launch.,"Unsafe public claim, data access, or support gap repeats."
DTR-018,Decision threshold for Closeout,Before public status refresh,Ready,Closeout archivist,Accepted evidence or explicit hold with dated owner action.,Any missing evidence for no-go route ignored.,"Unsafe public claim, data access, or support gap repeats."
