id,linkedOwnerSprint,owner,evidenceNeed,acceptanceState,privateCustodyRef,publicReplacement,closeoutCondition
OEI-001,OSP-001,Authority chair,Private authority roster and minute placeholder.,Needed,CUST-V55-001,Authority remains private and unresolved; no pilot has been approved.,Chair and alternate recorded with quorum authority.
OEI-002,OSP-002,Privacy reviewer,Private privacy copy approval.,Needed,CUST-V55-002,Privacy and consent controls remain under private owner review.,Privacy reviewer accepts fake/sample-only wording.
OEI-003,OSP-003,Privacy reviewer,Disabled outbound-email proof.,In review,CUST-V55-003,No outbound email is active for real participants.,No real outbound email can send from the demo.
OEI-004,OSP-004,IDS/data reviewer,Private data-rights drill evidence placeholder.,Needed,CUST-V55-004,"Data export, deletion, and retention controls remain under private review.","Export, delete, retention, and custody pass privately."
OEI-005,OSP-005,Support owner,Private support drill minute.,Needed,CUST-V55-005,Support routes are not live services.,Support owner confirms pause and escalation route.
OEI-006,OSP-006,Official-route owner,Private official-boundary note.,Blocked,CUST-V55-006,First Nations Toastmasters remains a fake/sample guest and boundary tester only.,"No official member, payment, education, officer, or club workflow is active."
OEI-007,OSP-007,IDS/data reviewer,Private custody index.,Needed,CUST-V55-007,Private evidence is not published in the public package.,Public package shows only aggregate status and custody placeholders.
OEI-008,OSP-008,Provider access owner,Provider refusal proof and RFQ boundary approval.,Needed,CUST-V55-008,"No provider has access to real participant, organisation, or Toastmasters records.",Provider real-record asks are rejected and redirected to fake/sample schemas only.
OEI-009,OSP-009,Training owner,Private copy review.,Needed,CUST-V55-009,First Nations Toastmasters sample records do not represent official member services.,Guest support wording cannot read as official member service.
OEI-010,OSP-010,Security reviewer,Private security proof references.,In review,CUST-V55-010,No live Decidim access is approved by this public demo.,Security reviewer accepts fake/sample environment proof.
OEI-011,OSP-011,Security reviewer,Private access expiry proof.,Needed,CUST-V55-011,No live admin access is approved by this public demo.,"Admin access has expiry, revoke route, and owner approval."
OEI-012,OSP-012,Provider access owner,Private RFQ approval reference.,Needed,CUST-V55-012,Provider or self-build options remain under fake/sample-only review.,"RFQ excludes real records, official Toastmasters data, outbound email, credentials, and live access."
OEI-013,OSP-013,Meeting chair,Private quorum roster.,Needed,CUST-V55-013,Named owners must approve their own gates privately.,Every required owner has an alternate and attendance state.
OEI-014,OSP-014,Barayamal custodian,Private Barayamal sample review.,Ready,CUST-V55-014,Barayamal remains a controlled fake/sample organisation test path.,No real business-sensitive or contact fields appear.
OEI-015,OSP-015,Comms lead,Private comms approval reference.,Ready,CUST-V55-015,The public demo remains a fake/sample preparation tool; no live pilot has been approved.,Public line says preparation only and does not imply launch.
OEI-016,OSP-016,Documentation owner,Generated v5.5 package manifest.,Ready,CUST-V55-016,The demo now includes an owner closeout sprint layer.,"Reviewers can follow agenda, evidence, closeout, and decision paths."
OEI-017,OSP-017,Meeting chair,Private final minute placeholder.,Needed,CUST-V55-017,"The next valid step is closeout sprint, repeat testing, or no-go/archive.","Proceed, repeat, and no-go/archive options are explicit."
OEI-018,OSP-018,Meeting chair,Private calendar hold and stop trigger register.,Needed,CUST-V55-018,Preparation continues; no pilot has been approved.,"Calendar, quorum, evidence folder, and stop triggers are confirmed."
