"id","issue","track","severity","status","owner","decisionRight","nextAction","blocks"
"ISS-001","Authority route not yet evidenced.","Cross-track","Critical","Open","Authority chair","Authority chair","Prepare private authority note.","Real intake/live access."
"ISS-002","Privacy notice wording not accepted.","Cross-track","Critical","Open","Privacy reviewer","Privacy reviewer","Revise notice and consent wording.","Private invitations."
"ISS-003","IDS/data custody proof not complete.","Cross-track","Critical","Open","IDS/data reviewer","IDS/data reviewer","Run custody/export/delete tabletop.","Any real data processing."
"ISS-004","Support route not drilled.","Cross-track","Critical","Open","Support owner","Support owner","Run pause/withdrawal/complaint drill.","Private invitations."
"ISS-005","Official Toastmasters boundary unclear.","FN Toastmasters","Critical","Open","Official-route owner","Official-route owner","Keep official route closed and request boundary note.","Toastmasters member workflow."
"ISS-006","Self-build environment lacks Ruby/PostgreSQL/ImageMagick path.","Decidim build","High","Open","Technical/admin custodian","Technical/admin custodian","Choose provider-assisted route or prepare dependencies.","Self-build sprint."
"ISS-007","Role revoke proof not run.","Access","High","Open","Technical/admin custodian","Technical/admin custodian","Run fake role assignment/revoke test.","Role provisioning."
"ISS-008","Email invite lock not proven.","Decidim build","High","Open","Privacy reviewer","Privacy reviewer","Disable real outbound email until consent passes.","Private Decidim setup."
"ISS-009","Public wording could sound like live approval.","Comms","High","Open","Comms lead","Comms lead","Use v4.7 public hold wording.","Public release note."
"ISS-010","Barayamal sample fields need owner review.","Barayamal","Medium","Open","Barayamal program operator","Barayamal program operator","Review business-field list.","Barayamal rehearsal."
"ISS-011","Toastmasters feedback path needs support owner.","FN Toastmasters","Medium","Open","Support owner","Support owner","Confirm feedback/support handoff.","Toastmasters feedback rehearsal."
"ISS-012","Dean comments need task routing template.","Dean review","Medium","Ready","Pilot owner","Pilot owner","Use issue board and change log.","Advisory closeout."
"ISS-013","Sample roster needs no-contact rule.","Access","Medium","Ready","Technical/admin custodian","Technical/admin custodian","Use generated fake identifiers only.","Sample account setup."
"ISS-014","Backup/export/delete proof needs provider input if provider route chosen.","Decidim build","High","Open","Technical/admin custodian","Provider access owner","Add provider evidence request.","Build path decision."
"ISS-015","Public summary needs approval status labels.","Comms","Medium","Ready","Comms lead","Comms lead","Use Ready/Hold/Blocked labels only.","Public update."
"ISS-016","Closeout archive owner needs review date.","Closeout","Medium","Open","Closeout archivist","Closeout archivist","Add review date and retention rule.","Archive route."
"ISS-017","Accessibility/mobile QA remains needed for live Decidim build.","Decidim build","Medium","Ready","Pilot owner","Technical/admin custodian","Carry into build acceptance tests.","Live build acceptance."
"ISS-018","Decision meeting cannot occur until scorecard is complete.","Cross-track","High","Open","Meeting chair","Meeting chair","Collect owner signoff statuses first.","Pilot decision meeting."
