"id","lane","status","allowedNow","blockedUntil","owner","publicWording"
"LAN-001","Public static demo","Ready","Publish fake/sample pages and docs.","Never publish private records.","Comms lead","Public fake/sample demo remains available."
"LAN-002","Dean advisory review","Ready","Invite advisory comments.","Advisory comments are mistaken for approval.","Pilot owner","Advisory review continues."
"LAN-003","Barayamal fake/sample rehearsal","Hold","Repeat only after owner and privacy field review.","Barayamal sensitive-field review passes.","Barayamal program operator","Barayamal sample preparation continues."
"LAN-004","Barayamal real founder intake","Blocked","No.","Authority, privacy, IDS/data, support, access, and comms pass.","Authority chair","No real founder intake is open."
"LAN-005","Toastmasters guest-only fake rehearsal","Hold","Repeat only after training/support/privacy review.","Guest-only boundary passes.","Training owner","Guest-only sample preparation continues."
"LAN-006","Toastmasters member or official workflow","Blocked","No.","Official-route owner approves and official systems stay primary.","Official-route owner","No official Toastmasters process is open."
"LAN-007","Provider-assisted Decidim sandbox","Hold","Request quotes and terms.","Provider access, data, backup, delete, exit terms pass.","Provider access owner","Build path is under private review."
"LAN-008","Self-build Decidim app","Blocked","No implementation sprint yet.","Runtime, database, image, email, backup, security, and maintainer path pass.","Technical/admin custodian","Self-build prerequisites are being reviewed."
"LAN-009","Limited private pilot","Blocked","No.","Every critical owner vote passes privately.","Meeting chair","No private pilot is approved yet."
"LAN-010","Public onboarding","Blocked","No.","Limited private pilot passes and owner decision authorises public step.","Authority chair","Public onboarding is not open."
"LAN-011","No-go or archive","Available","Can publish public-safe no-go/archive status.","Do not publish private reasons.","Closeout archivist","The public demo may remain as a learning artefact."
"LAN-012","Public learning summary","Hold","Aggregate findings only after redaction.","Comms and owner review pass.","Comms lead","A public-safe learning update may be issued later."
