id,role,owner,requiredFor,signoffState,defaultState,canApprove,cannotApprove,nextAction,publicSafeLine
SGN-001,Authority chair,Authority chair,Authority and final decision,Blocked,Blocked,Private owner acceptance for Authority and final decision.,Community/owner authority.,"Owner must accept, hold, or block the result minute privately.",Authority acceptance remains private.
SGN-002,Privacy reviewer,Privacy reviewer,"Consent, withdrawal, outbound contact, evidence disclosure",Blocked,Blocked,"Private owner acceptance for Consent, withdrawal, outbound contact, evidence disclosure.",Privacy owner signoff.,"Owner must accept, hold, or block the result minute privately.",Privacy acceptance remains private.
SGN-003,IDS/data steward,IDS/data steward,"Evidence custody, export, retention, deletion",Hold,Hold,"Private owner acceptance for Evidence custody, export, retention, deletion.",Data sovereignty signoff.,"Owner must accept, hold, or block the result minute privately.",IDS/data controls remain private.
SGN-004,Official-route owner,Official-route owner,Official Toastmasters boundary,Hold,Hold,Private owner acceptance for Official Toastmasters boundary.,Official Toastmasters approval.,"Owner must accept, hold, or block the result minute privately.",Official Toastmasters workflows are not active.
SGN-005,Provider access owner,Provider access owner,Provider refusal and RFQ boundary,Blocked,Blocked,Private owner acceptance for Provider refusal and RFQ boundary.,Provider real-record authority.,"Owner must accept, hold, or block the result minute privately.",No provider has real-record access.
SGN-006,Meeting chair,Meeting chair,Run flow and minute lock,Blocked,Blocked,Private owner acceptance for Run flow and minute lock.,Authority approval.,"Owner must accept, hold, or block the result minute privately.",Repeat P0 remains private.
SGN-007,Evidence custodian,Evidence custodian,Evidence capture and export packet,Hold,Hold,Private owner acceptance for Evidence capture and export packet.,IDS/data or privacy signoff.,"Owner must accept, hold, or block the result minute privately.",Private evidence is not published.
SGN-008,Communications lead,Comms lead,Public line approval,Hold,Hold,Private owner acceptance for Public line approval.,Authority or privacy approval.,"Owner must accept, hold, or block the result minute privately.",Public status says preparation only.
SGN-009,Technical custodian,Technical custodian,Fake/sample Decidim dry run,Accepted,Accepted,Private owner acceptance for Fake/sample Decidim dry run.,Live Decidim approval.,Keep sample-only evidence and monitor.,Live Decidim access remains blocked.
SGN-010,Barayamal sample owner,Barayamal sample owner,Founder/business-owner sample track,Accepted with sample limits,Accepted with sample limits,Private owner acceptance for Founder/business-owner sample track.,Real business authority.,Keep sample-only evidence and monitor.,Barayamal remains fake/sample only.
SGN-011,FN Toastmasters sample owner,FN Toastmasters sample owner,Guest/member-boundary sample track,Accepted with sample limits,Accepted with sample limits,Private owner acceptance for Guest/member-boundary sample track.,Official Toastmasters authority.,Keep sample-only evidence and monitor.,First Nations Toastmasters remains fake/sample only.
SGN-012,Dean Foley / Barayamal trusted reviewer,Dean Foley / Barayamal,Advisory technical/usefulness review,Advisory accepted,Advisory accepted,Advisory usefulness and technical review only.,Owner/community authority.,"Owner must accept, hold, or block the result minute privately.","Dean/Barayamal review is advisory, not approval."
