issue_id,issue_number,title,url,milestone,status_label,lane,labels,next_action
S-001,1,Create GitHub sprint board,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/1,First fake-data Decidim sandbox sprint,status:blocked,Setup,sandbox;fake-data,Refresh GitHub auth with Projects scope or continue using milestone and status labels
S-002,2,Confirm maintainer and contributor rules,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/2,First fake-data Decidim sandbox sprint,status:ready,Setup,sandbox;governance,Confirm CONTRIBUTING and fake-data boundary
S-003,3,Confirm Decidim hosting pathway,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/3,First fake-data Decidim sandbox sprint,status:ready,Setup,sandbox;decidim-config,Choose managed provider VPS Docker or developer-hosted sandbox
S-004,4,Install or provision Decidim sandbox,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/4,First fake-data Decidim sandbox sprint,status:ready,Setup,sandbox;decidim-config,Provision sandbox and confirm admin login
S-005,5,Create organisation and public labels,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/5,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,sandbox;decidim-config,Configure organisation with fake-data warning
S-006,6,Create assembly and governance context,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/6,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,sandbox;decidim-config,Create sample assembly with draft-only authority language
S-007,7,Create sample participatory process,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/7,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,sandbox;decidim-config,Create sample process and phases
S-008,8,Configure proposals meetings survey and accountability,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/8,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,sandbox;decidim-config,Configure core Decidim components with fake data
S-009,9,Run fake-data content audit,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/9,First fake-data Decidim sandbox sprint,status:ready,Safety QA,safety;fake-data;qa,Audit for real data cultural material and unsafe authority language
S-010,10,Run mobile and accessibility check,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/10,First fake-data Decidim sandbox sprint,status:ready,Safety QA,accessibility;mobile;qa,Run mobile and accessibility checks
S-011,11,Complete admin handover notes,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/11,First fake-data Decidim sandbox sprint,status:ready,Handover,handover;sandbox;ops,Record admin support backup access and handover notes
S-012,12,Record sprint evidence and known limitations,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/12,First fake-data Decidim sandbox sprint,status:ready,Handover,handover;safety;ops,Record screenshots QA results limitations and open risks
