id,linkedDecision,linkedOwnerSprint,owner,decision,defaultOutcome,requiredInput,allowedAction,publicOutcome
DPK-001,DCR-001,OSP-001,Authority chair,Proceed to limited private pilot,No-go or hold,Chair and alternate recorded with quorum authority.,Do not proceed,No pilot approved
DPK-002,DCR-002,OSP-002,Privacy reviewer,Closeout decision for REM-002,Hold,Privacy reviewer accepts fake/sample-only wording.,"Accept, hold, repeat, or no-go",Privacy and consent controls remain under private owner review.
DPK-003,DCR-003,OSP-003,Privacy reviewer,Closeout decision for REM-003,Hold,No real outbound email can send from the demo.,"Accept, hold, repeat, or no-go",No outbound email is active for real participants.
DPK-004,DCR-004,OSP-004,IDS/data reviewer,Closeout decision for REM-004,Hold,"Export, delete, retention, and custody pass privately.","Accept, hold, repeat, or no-go","Data export, deletion, and retention controls remain under private review."
DPK-005,DCR-005,OSP-005,Support owner,Closeout decision for REM-005,Hold,Support owner confirms pause and escalation route.,"Accept, hold, repeat, or no-go",Support routes are not live services.
DPK-006,DCR-006,OSP-006,Official-route owner,Closeout decision for REM-006,No-go or hold,"No official member, payment, education, officer, or club workflow is active.","Accept, hold, repeat, or no-go",First Nations Toastmasters remains a fake/sample guest and boundary tester only.
DPK-007,DCR-007,OSP-007,IDS/data reviewer,Closeout decision for REM-007,Hold,Public package shows only aggregate status and custody placeholders.,"Accept, hold, repeat, or no-go",Private evidence is not published in the public package.
DPK-008,DCR-008,OSP-008,Provider access owner,Closeout decision for REM-008,Hold,Provider real-record asks are rejected and redirected to fake/sample schemas only.,"Accept, hold, repeat, or no-go","No provider has access to real participant, organisation, or Toastmasters records."
DPK-009,DCR-009,OSP-009,Training owner,Closeout decision for REM-009,Hold,Guest support wording cannot read as official member service.,"Accept, hold, repeat, or no-go",First Nations Toastmasters sample records do not represent official member services.
DPK-010,DCR-010,OSP-010,Security reviewer,Closeout decision for REM-010,Hold,Security reviewer accepts fake/sample environment proof.,"Accept, hold, repeat, or no-go",No live Decidim access is approved by this public demo.
DPK-011,DCR-011,OSP-011,Security reviewer,Closeout decision for REM-011,Hold,"Admin access has expiry, revoke route, and owner approval.","Accept, hold, repeat, or no-go",No live admin access is approved by this public demo.
DPK-012,DCR-012,OSP-012,Provider access owner,Closeout decision for REM-012,Hold,"RFQ excludes real records, official Toastmasters data, outbound email, credentials, and live access.","Accept, hold, repeat, or no-go",Provider or self-build options remain under fake/sample-only review.
DPK-013,DCR-013,OSP-013,Meeting chair,Closeout decision for REM-013,Hold,Every required owner has an alternate and attendance state.,"Accept, hold, repeat, or no-go",Named owners must approve their own gates privately.
DPK-014,DCR-014,OSP-014,Barayamal custodian,Closeout decision for REM-014,Accept after evidence,No real business-sensitive or contact fields appear.,"Accept, hold, repeat, or no-go",Barayamal remains a controlled fake/sample organisation test path.
DPK-015,DCR-015,OSP-015,Comms lead,Closeout decision for REM-015,Accept after evidence,Public line says preparation only and does not imply launch.,"Accept, hold, repeat, or no-go",The public demo remains a fake/sample preparation tool; no live pilot has been approved.
DPK-016,DCR-016,OSP-016,Documentation owner,Closeout decision for REM-016,Accept after evidence,"Reviewers can follow agenda, evidence, closeout, and decision paths.","Accept, hold, repeat, or no-go",The demo now includes an owner closeout sprint layer.
DPK-017,DCR-017,OSP-017,Meeting chair,Closeout decision for REM-017,Hold,"Proceed, repeat, and no-go/archive options are explicit.","Accept, hold, repeat, or no-go","The next valid step is closeout sprint, repeat testing, or no-go/archive."
DPK-018,DCR-018,OSP-018,Meeting chair,Closeout decision for REM-018,Hold,"Calendar, quorum, evidence folder, and stop triggers are confirmed.","Accept, hold, repeat, or no-go",Preparation continues; no pilot has been approved.
