id,drill,category,status,owner,providerFailure,requiredResponse,exitTrigger
PFD-001,Provider failure drill: critical authority route missing,Authority,Blocked,Provider access owner,"Provider, contractor, or tool path mishandles critical authority route missing in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-002,Provider failure drill: privacy notice and consent gap,Privacy,Blocked,Privacy reviewer,"Provider, contractor, or tool path mishandles privacy notice and consent gap in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-003,Provider failure drill: outbound real email escape,Privacy,Blocked,Privacy reviewer,"Provider, contractor, or tool path mishandles outbound real email escape in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-004,Provider failure drill: export/delete/retention failure,IDS/data,Blocked,Provider access owner,"Provider, contractor, or tool path mishandles export/delete/retention failure in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-005,Provider failure drill: support complaint and pause route failure,Support,Blocked,Support owner,"Provider, contractor, or tool path mishandles support complaint and pause route failure in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-006,Provider failure drill: official Toastmasters boundary drift,FN Toastmasters,Blocked,Official-route owner,"Provider, contractor, or tool path mishandles official Toastmasters boundary drift in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-007,Provider failure drill: credential or log exposure,Security,Blocked,Provider access owner,"Provider, contractor, or tool path mishandles credential or log exposure in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-008,Provider failure drill: private evidence custody leak,Evidence,Blocked,IDS/data reviewer,"Provider, contractor, or tool path mishandles private evidence custody leak in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-009,Provider failure drill: business-sensitive field creep,Barayamal,Hold,Barayamal custodian,"Provider, contractor, or tool path mishandles business-sensitive field creep in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-010,Provider failure drill: guest support mistaken for member service,FN Toastmasters,Hold,Provider access owner,"Provider, contractor, or tool path mishandles guest support mistaken for member service in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-011,Provider failure drill: provider asks for real records,Provider,Hold,Provider access owner,"Provider, contractor, or tool path mishandles provider asks for real records in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-012,Provider failure drill: backup restore cannot be proven,Decidim build,Hold,Technical/admin custodian,"Provider, contractor, or tool path mishandles backup restore cannot be proven in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-013,Provider failure drill: role revoke fails,Access,Hold,Provider access owner,"Provider, contractor, or tool path mishandles role revoke fails in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-014,Provider failure drill: admin handoff before training,Training,Hold,Community admin trainer,"Provider, contractor, or tool path mishandles admin handoff before training in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-015,Provider failure drill: private minutes accidentally public,Meeting,Hold,Meeting chair,"Provider, contractor, or tool path mishandles private minutes accidentally public in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-016,Provider failure drill: advisory comment treated as approval,Dean review,Ready,Provider access owner,"Provider, contractor, or tool path mishandles advisory comment treated as approval in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-017,Provider failure drill: public wording implies launch,Comms,Ready,Comms lead,"Provider, contractor, or tool path mishandles public wording implies launch in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-018,Provider failure drill: no-go route ignored,Closeout,Ready,Closeout archivist,"Provider, contractor, or tool path mishandles no-go route ignored in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-019,Provider failure drill: ticket scope implies real launch,Build handoff,Ready,Provider access owner,"Provider, contractor, or tool path mishandles ticket scope implies real launch in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
PFD-020,Provider failure drill: RFQ scope expands after response,Provider,Ready,Provider access owner,"Provider, contractor, or tool path mishandles RFQ scope expands after response in a fake/sample scenario.","Reject real data access, document failure, update RFQ terms, and rerun fake/sample proof.",Exit or reset provider route if the same P0 failure repeats.
