id,sample,status,owner,testStep,blockedFields,acceptanceCriteria
TRS-001,First Nations Toastmasters fake guest sample 1,Ready,Training owner,Check guest interest and speaking-goal copy.,"Member number, payment, education record, officer role, official club record, incident, election",Guest path is clearly fake/sample and not official member service.
TRS-002,First Nations Toastmasters fake guest sample 2,Ready,Training owner,Check prospective-member boundary warning.,"Member number, payment, education record, officer role, official club record, incident, election",Guest path is clearly fake/sample and not official member service.
TRS-003,First Nations Toastmasters fake guest sample 3,Ready,Training owner,Check training volunteer support wording.,"Member number, payment, education record, officer role, official club record, incident, election",Guest path is clearly fake/sample and not official member service.
TRS-004,First Nations Toastmasters fake guest sample 4,Ready,Training owner,Check guest interest and speaking-goal copy.,"Member number, payment, education record, officer role, official club record, incident, election",Guest path is clearly fake/sample and not official member service.
TRS-005,First Nations Toastmasters fake guest sample 5,Ready,Training owner,Check prospective-member boundary warning.,"Member number, payment, education record, officer role, official club record, incident, election",Guest path is clearly fake/sample and not official member service.
TRS-006,First Nations Toastmasters fake guest sample 6,Revise,Training owner,Check training volunteer support wording.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
TRS-007,First Nations Toastmasters fake guest sample 7,Revise,Training owner,Check guest interest and speaking-goal copy.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
TRS-008,First Nations Toastmasters fake guest sample 8,Revise,Training owner,Check prospective-member boundary warning.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
TRS-009,First Nations Toastmasters fake guest sample 9,Revise,Training owner,Check training volunteer support wording.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
TRS-010,First Nations Toastmasters fake guest sample 10,Retest,Training owner,Check guest interest and speaking-goal copy.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
TRS-011,First Nations Toastmasters fake guest sample 11,Retest,Training owner,Check prospective-member boundary warning.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
TRS-012,First Nations Toastmasters fake guest sample 12,Retest,Training owner,Check training volunteer support wording.,"Member number, payment, education record, officer role, official club record, incident, election",Rewrite wording before repeat sample.
