id,sample,status,owner,testStep,blockedFields,acceptanceCriteria
BRS-001,Barayamal fake organisation sample 1,Ready,Barayamal custodian,Check founder/business-owner intake fields.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-002,Barayamal fake organisation sample 2,Ready,Barayamal custodian,Check mentor/program/resource pathway.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-003,Barayamal fake organisation sample 3,Ready,Barayamal custodian,Check feedback and support wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-004,Barayamal fake organisation sample 4,Ready,Barayamal custodian,Check founder/business-owner intake fields.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-005,Barayamal fake organisation sample 5,Ready,Barayamal custodian,Check mentor/program/resource pathway.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-006,Barayamal fake organisation sample 6,Ready,Barayamal custodian,Check feedback and support wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-007,Barayamal fake organisation sample 7,Ready,Barayamal custodian,Check founder/business-owner intake fields.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-008,Barayamal fake organisation sample 8,Ready,Barayamal custodian,Check mentor/program/resource pathway.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",No blocked field appears and copy stays sample-only.
BRS-009,Barayamal fake organisation sample 9,Revise,Barayamal custodian,Check feedback and support wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",Revise copy or field label before repeat sample.
BRS-010,Barayamal fake organisation sample 10,Revise,Barayamal custodian,Check founder/business-owner intake fields.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",Revise copy or field label before repeat sample.
BRS-011,Barayamal fake organisation sample 11,Retest,Barayamal custodian,Check mentor/program/resource pathway.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",Revise copy or field label before repeat sample.
BRS-012,Barayamal fake organisation sample 12,Retest,Barayamal custodian,Check feedback and support wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material",Revise copy or field label before repeat sample.
