"id","change","priority","status","owner","reason","acceptance","rollback"
"CH47-001","Add rehearsal control room to public demo.","P0","Ready","Pilot owner","v4.6 lacked a day-by-day operating surface.","New page and package published.","Remove v4.7 link and keep v4.6."
"CH47-002","Add owner sign-off board.","P0","Ready","Meeting chair","Decision rights need to be visible.","Twenty signoff records available.","Use v4.6 gates only."
"CH47-003","Add session scripts.","P0","Ready","Pilot owner","Rehearsals need consistent facilitation prompts.","Fourteen scripts available.","Use playbook narrative only."
"CH47-004","Add issue triage board.","P0","Ready","Pilot owner","Blocked items need owner, severity, and route.","Eighteen issues listed.","Use no-go register only."
"CH47-005","Add sample-safe roster.","P0","Ready","Technical/admin custodian","Fake accounts need role labels and no-contact rule.","Eighteen sample identities available.","Delete roster file."
"CH47-006","Add acceptance scorecard.","P0","Ready","Meeting chair","Decision meeting needs evidence-backed score.","Eighteen acceptance checks available.","Use v4.6 success metrics only."
"CH47-007","Add decision options.","P1","Ready","Authority chair","Closeout needs alternatives besides launch.","Eight decision options available.","Use no-go triggers only."
"CH47-008","Add handoff actions.","P1","Ready","Closeout archivist","Next steps after rehearsal need a queue.","Twelve handoff actions available.","Keep actions in docs."
"CH47-009","Update nav and Review Pack hub.","P1","Ready","Comms lead","Reviewers need to find v4.7 quickly.","Control Room appears in hub and nav.","Remove nav link."
"CH47-010","Update document viewer catalog.","P1","Ready","Pilot owner","All new docs/data should be browsable.","Viewer lists v4.7 files.","Raw files remain accessible."
"CH47-011","Update manifest evidence group.","P0","Ready","Pilot owner","Release validation needs machine-readable inventory.","Manifest has v4.7 evidence group.","Manifest reverts to v4.6."
"CH47-012","Keep real intake blocked.","P0","Ready","Authority chair","Upgrade must not imply live approval.","Recommended decision says no live launch.","Rollback public wording."
